	Account Number (CDP)	City Name (CDP)	Country (CDP)	City Short Name (CDP)	C40 (CDP)	Reporting Year (CDP)	Measurement Year (CDP)	Boundary (CDP)	Primary Methodology (CDP)	Methodology Details (CDP)	Gases included (CDP)	Total City-wide Emissions (metric tonnes CO2e) (CDP)	Total Scope 1 Emissions (metric tonnes CO2e) (CDP)	Total Scope 2 Emissions (metric tonnes CO2e) (CDP)	Increase/Decrease from last year (CDP)	Reason for increase/decrease in emissions (CDP)	Current Population Year (CDP)	Current Population (CDP)	City GDP (CDP)	GDP Currency (CDP)	Year of GDP (CDP)	GDP Source (CDP)	Average annual temperature (in Celsius) (CDP)	Land area (in square km) (CDP)	Average altitude (m) (CDP)	City Location (CDP)	Country Location (CDP)	Measurement year only (CDP)	scope fraction (CDP)	CDP2016 data edited (CDP)	Emissions Quality Flag (CDP)
124	57347	Pingtung County Government	Taiwan	Pingtung 		2017.0	2013-01-03 03:13:00	Administrative boundary of a local government	Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)		CO2; CH4; N2O	4969246.69	2768427.4	2200856.14	Increased	The main increased department are energy, industry, and waste	2016.0	835792.0					25.0	2775.0	750.0	(22.551976, 120.54876)	(23.69781, 120.960515)	2013.0	1.0	Replaced by CDP2017 data. Reason:  TOT >> s1+s2 (Case 2b) in CDP2016. Soln: Replace with CDP2017 data (no edits required).	B
79	31170	Metropolitan Municipality of Lima	Peru	Lima	C40	2016.0	2012-12-31 00:00:00	A metropolitan area	Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)	La metodología Global Protocol for Community- scale Greenhouse Gas emissions (GPC) establece que los límites pueden definirse en cualquiera de tres niveles: Internacional, inter-ciudades/subnacional, o al interior de la ciudad.	CO2; CH4; N2O	27810839.0	12378734.0	15432105.0	This is our first year of calculation		2014.0	8755262.0				INEI	18.0	2672.0	154.0	(-12.046374, -77.042793)	(-9.189967, -75.015152)	2012.0	1.0	CDP2016 TOT recalculated by summing both CDP2016 scopes.	A
61	54402	City of Lahti	Finland	Lahti		2017.0	2015-01-03 03:15:00	Administrative boundary of a local government	2006 IPCC Guidelines for National Greenhouse Gas Inventories	Energy production CHP, process power, wastes and waste water calculations quite high level of confidence. Traffic calculation is based on national LIISA model, not actual emissions. Separate heating, industrial machinery, agriculture and its energy use are not so high level of confidence, because information harder to find .and emission calculatios are based on statistics. Calculations are made with national tool called KASVENER (2007), but with updated GWP factors.	CO2; CH4; N2O	874807.0	717200.0	157607.0	Decreased	Decreased from baseline year 1990. New waste gasification plant 2012 and collecting separate energy waste from citizens. Effective waste water treatment with collecting biogas before composting the sludge. Effective and energy-efficient waste and biowaste collection and treatment (new biogas plant 2014). Better energy effiency in buildings.	2016.0	119452.0	6057000000.0	EUR     Euro	2013.0	http://www.tilastokeskus.fi/tup/suoluk/suoluk_vaesto.html#bruttokansantuote	4.0	517.0	119.0	(60.9833, 25.65)	(61.92411, 25.748151)	2015.0	1.0	Replaced by CDP2017 data. Reason:  TOT << s1+s2 (Case 3a) in CDP2016. Soln: Derive TOT (CDP2017) from s1 (CDP2017) and s2 (CDP2017) then replace CDP2016 values by CDP2017	A
105	50680	Cascais	Portugal	Cascais		2016.0	2010-12-31 00:00:00	Administrative boundary of a local government	2006 IPCC Guidelines for National Greenhouse Gas Inventories	this was made with calculous platforms from international organizations such as UN (IPCC, and ICLEI) as well as EU comission	CO2	831603.0	565382.0	266221.0	Decreased	We have verified a decrease in fuel consumption between the mentioned time period.	2014.0	208122.0			2014.0		17.0	97.0		(38.6970565, -9.4222945)	(39.399872, -8.224454)	2010.0	1.0	CDP2016 TOT recalculated by summing both CDP2016 scopes.	A
33	31180	Región Metropolitana de Santiago	Chile	Región Metropolitana de Santiago	C40	2016.0	2013-12-31 00:00:00	A metropolitan area	2006 IPCC Guidelines for National Greenhouse Gas Inventories	GPC was used for organizing information, while for the estimation of emissions (equations and emission factors) the IPCC guidelines was used.	CO2; CH4; N2O	31426696.8	23120027.8	8306669.0	This is our first year of calculation	This is the firs GHG inventory for the Metropolitan Region of Santiago.	2015.0	7314176.0	125301713234.0	USD     US Dollar	2013.0	Central Bank of Chile	14.0	15403.0	520.0	(-33.44889, -70.669265)	(-35.675147, -71.542969)	2013.0	1.0	CDP2016 TOT recalculated by summing both CDP2016 scopes.	A
89	43920	City of Ljubljana	Slovenia	Ljubljana		2017.0	2014-01-03 03:14:00	Administrative boundary of a local government	Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)		CO2; CH4; N2O	2733850.0	1829808.0	904042.0	Decreased	due to the actions taken. city centre closed for traffic, ordering of electricity (100 % RES), refurbishment of building (public and private through subsidies from public companies and state Eco-fund), iintroduction of CNG and electric buses in public transport, installation on electric cars charging stations, ...	2016.0	288307.0	8220687536.0	EUR     Euro	2014.0	Regional data (2014: 25329€/capita, source: stat.si), no special data for Ljubljana ( €/capita), $:€: 1,13		275.0		(46.056947, 14.505751)	(46.151241, 14.995463)	2014.0	1.0	Replaced by CDP2017 data. Reason:  TOT >> s1+s2 (Case 2b) in CDP2016. Soln: Replace with CDP2017 data (no edits required).	B
84	44185	Suwon City	South Korea	Suwon 		2016.0	2013-12-31 00:00:00	Administrative boundary of a local government	2006 IPCC Guidelines for National Greenhouse Gas Inventories		CO2; PFCs; CH4; SF6; N2O; HFCs	5775155.0	3670140.0	2710235.0	Increased	Emissions increased 2.3% from last year’s emission total of 5,749,476 tons. This rise was due to a short-term phenomenon of rising waste generation at factory sites within Suwon. However, aside from the waste treatment sector, other sectors saw no increase in their emission rates.	2015.0	1221973.0	12443320800000.0		2012.0	Match statistics	13.1	121.0	75.0	(37.2635727, 127.0286009)	(35.907757, 127.766922)	2013.0	1.1047971872616407		A
120	54520	Ville de Lausanne	Switzerland	Lausanne		2016.0	2013-12-31 00:00:00	Administrative boundary of a local government	Other	Baseline Emission Inventory of the Covenant of Mayor	CO2	499573.0	456843.0	45730.0	Decreased	see SEAP	2015.0	140000.0	8834000000.0		2014.0	calculated by city government	12.0	55.0	500.0	(46.5198, 6.6335)	(46.818188, 8.227512)	2013.0	1.0060051283796363		A
35	50578	City of Windsor	Canada	Windsor		2016.0	2014-12-31 00:00:00	Administrative boundary of a local government	International Emissions Analysis Protocol (ICLEI)		CO2; CH4; N2O	2482412.0	2475703.0	6709.0		Community emissions have decreased by 382,134 tonnes between 2011 and 2014, and by 1,250,176 tonnes. The largest sources of declines were in Industrial emissions and Commercial and Institutional emissions, respectively, and can likely be credited in no small part to efficiency improvements and the Province's shuttering of goal generation in the grid electricity mix	2011.0	210891.0	12065940000.0	CAD     Canadian Dollar	2014.0	City Economic Development Planning	10.7	146.3	190.0	(42.314937, -83.036363)	(56.130366, -106.346771)	2014.0	1.0	CDP2016 TOT recalculated by summing both CDP2016 scopes.	A
186	46473	City of Zaragoza	Spain	Zaragoza		2016.0	2014-12-31 00:00:00	Administrative boundary of a local government	Other	Metodología propia basada en los factores oficiales del Ministerio de Agricultura y Medioambiente para las emisiones directas y en los de la Comisión Nacional de la Energía para las debidas al uso de la electricidad	CO2	1785603.75	1175162.74	613341.01	Decreased	Fundamentalmente, las medidas adoptadas en las estrategias anteriormente citadas han conseguido una importante reducción de las emisiones en los sectores contemplados en el Pacto de Alcaldes: residencial y movilidad. Y ello tanto en el último año como desde 2015. Por su parte, el sector industrial ha reducido sus emisiones en el último año aunque, desde 2005 estas han aumentado, Aparte de la influencia de determinadas actuaciones del Ayuntamiento (Plan de Acuerdos voluntarios) la crisis económica ha frenado en parte el incremento de las emisiones en este sector.	2015.0	661108.0	33793459000.0	EUR     Euro	2015.0	provisional	16.3	969.0	208.0	(41.608629, -0.887012)	(40.463667, -3.74922)	2014.0	1.001624100531823		A
