	city name	population (others)	population (others) source year	population (others) source	area [km2] (others)	area [km2] (others) source year	area [km2] (others) source	GDP-PPP [$BN] (others)	GDP-PPP/cap [$USD] (others)	GDP-PPP [$BN] (others) source	GDP-PPP year (others)	nGDP [$BN] (others)	nGDP/cap [$USD] (others)	nGDP [$BN] (others) source year	nGDP [$BN] (others) source	Household_size	Household_source	Year_Household size
0	Aguascalientes	934424	2012	Wikipedia	385.0	2012	Wikipedia											
1	Balikpapan	736806	2015	Wikipedia	503.3	2015	Wikipedia					7.0	12544802.867383512		[3], [19]			
2	Bandung	2575478	2015	Wikipedia	167.67	2015	Wikipedia	21.0		[2]	2008.0	10.0	4175365.344467641		[3], [19]			
3	Barranquilla	1228271	2017	Wikipedia	161.0	2017	Wikipedia					0.011917850612672299			Carbonn. But according to 2014 source (http://www.investincolombia.com.co/regional-information/barranquilla.html), we assume reported carbonn units are USD and not COP (and scale to $BN)			
4	Betim	408448	2012	Wikipedia	342.85	2012	Wikipedia					0.012559713920813101			Carbonn. But according to source (http://www.betim.mg.gov.br/ARQUIVOS_ANEXO/Ingles;;20070320.pdf), we assume reported carbonn units are USD and not BRL (and scale to $BN)			
5	Bhubaneswar	837456	2011	Wikipedia	422.0	2011	Wikipedia					1.64377381471304			carbonn, scaled to $BN USD			
6	Cochin	601574	2011	Wikipedia	94.88	2011	Wikipedia					7.0	3455083.9091806514		[3], [19]			
7	Coimbatore	1601438	2011	Wikipedia	246.75	2011	Wikipedia					5.0	2415458.9371980675		[3], [19]			
8	Dehradun	578420	2011	Wikipedia	300.0	2011	Wikipedia					0.8786708291731401			carbonn, scaled to $BN USD			
9	Gandhinagar	292167	2011	Wikipedia	177.0	2011	Wikipedia					0.40871591183260697			carbonn, scaled to $BN USD			
10	Gwalior	1069276	2011	Wikipedia	289.0	2011	Wikipedia											
11	Hat Yai	158218	2012	Wikipedia	21.0	2012	Wikipedia											
12	Hue	354124	2015	Wikipedia	70.67	2015	Wikipedia					0.930583326447587			carbonn, scaled to $BN USD			
13	Hyderabad	6809970	2011	Wikipedia	650.0	2011	Wikipedia	58.0		[2]	2008.0	16.0	2127659.574468085		[3], [19]			
