	city name	lat	lon	CDD_23C	HDD_15.5C	coord source
0	Buenos Aires	-34.603	 -58.381667	0	300	https://en.wikipedia.org/wiki/Buenos_Aires
1	Adelaide	-34.929	 138.601	60	528	https://en.wikipedia.org/wiki/Adelaide
2	Sydney	-33.865	 151.209444	32	108	https://en.wikipedia.org/wiki/Sydney
3	Melbourne	-37.814	 144.963056	62	1176	https://en.wikipedia.org/wiki/Melbourne
4	Canberra	-35.306999999999995	 149.124417	30	1484	https://en.wikipedia.org/wiki/Canberra
5	La Paz	-16.5	 -68.15	61	0	https://en.wikipedia.org/wiki/La_Paz
6	Salvador	-12.975	 -38.476667	184	0	https://en.wikipedia.org/wiki/Salvador,_Bahia
7	Rio de Janeiro	-22.908	 -43.196389	4	0	https://en.wikipedia.org/wiki/Rio_de_Janeiro
8	Recife	-8.05	 -34.9	521	0	https://en.wikipedia.org/wiki/Recife
9	Porto Alegre	-30.033	 -51.23	0	41	https://en.wikipedia.org/wiki/Porto_Alegre
10	Florianópolis	-27.572	 -48.6256	1	7	https://en.wikipedia.org/wiki/Florian%C3%B3polis
11	Curitiba	-25.416999999999998	 -49.25	3	0	https://en.wikipedia.org/wiki/Curitiba
12	Belo Horizonte	-19.917	 -43.933333	10	0	https://en.wikipedia.org/wiki/Belo_Horizonte
13	Goiânia	-16.667	 -49.25	61	0	https://en.wikipedia.org/wiki/Goi%C3%A2nia
14	Palmas	-10.184	 -48.333611	339	0	https://en.wikipedia.org/wiki/Palmas,_Tocantins
15	Sorocaba	-23.502	 -47.458056	4	0	https://en.wikipedia.org/wiki/Sorocaba
16	Brasília	-15.79	 -47.88	79	0	https://en.wikipedia.org/wiki/Bras%C3%ADlia
17	Guaratinguetá	-22.816999999999997	 -45.227778	4	0	https://en.wikipedia.org/wiki/Guaratinguet%C3%A1
18	Windsor, ON	42.283	 -83	34	1889	https://en.wikipedia.org/wiki/Windsor,_Ontario
19	Ajax, ON	43.858000000000004	 -79.036389	18	1834	https://en.wikipedia.org/wiki/Ajax,_Ontario
20	Calgary	51.05	 -114.066667	0	1793	https://en.wikipedia.org/wiki/Calgary
21	Winnipeg	49.898999999999994	 -97.139167	0	1442	https://en.wikipedia.org/wiki/Winnipeg
22	Toronto	43.7	 -79.4	18	1834	https://en.wikipedia.org/wiki/Toronto
23	Edmonton	53.533	 -113.5	0	2020	https://en.wikipedia.org/wiki/Edmonton
24	Hamilton, ON	43.25	 -79.866667	18	1834	https://en.wikipedia.org/wiki/Hamilton,_Ontario
25	London, ON	42.983999999999995	 -81.2497	3	2430	https://en.wikipedia.org/wiki/London,_Ontario
26	Montreal	45.5	 -73.566667	14	1579	https://en.wikipedia.org/wiki/Montreal
27	North Vancouver	49.317	 -123.066667	0	1553	https://en.wikipedia.org/wiki/North_Vancouver_(city)
28	Peterborough, ON	44.3	 -78.316667	34	1425	https://en.wikipedia.org/wiki/Peterborough,_Ontario
29	Vancouver	49.25	 -123.1	0	1553	https://en.wikipedia.org/wiki/Vancouver
