Account number,Organization,City,Country,Region,C40,Access,Reporting year,Accounting year,Boundary,Protocol,Gases included,Total emissions (metric tonnes CO2e),Scopes Included ,Total Scope 1 Emissions (metric tonnes CO2e),Total Scope 2 Emissions (metric tonnes CO2e),Comment,Increase/Decrease from last year,Reason for increase/decrease in emissions,Population,Population year,City Location,Country Location
58609,City of Ærøskøbing,Ærøskøbing,Denmark,Europe,,Public,2017,2016-01-01 - 2016-12-31,Administrative boundary of a local government,Other,CO2,185,Total Scope 1 and Scope 2,,,,Decreased,More renewable energi.,6180,2017,"(54.891456, 10.404684)","(56.26392, 9.501785)"
50673,Faro,Faro,Portugal,Europe,,Public,2017,2014-01-01 - 2014-12-31,Administrative boundary of a local government,Other,CO2,246.331,Total Scope 1 and Scope 2,104,143,"The data was collected in 2014, page 72, frame 21",Decreased,The data was collected in 2014 show that the emissions decreased in scope1 and increased in scope2. But in general the emissions decreased,61019,2015,"(37.019355, -7.93044)","(39.399872, -8.224454)"
31174,Moscow Government,Moscow ,Russia,Europe,C40,Public,2017,2016-01-01 - 2016-12-31,Combination of administrative divisions,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)",,46714279,"Total Scope 1, Scope 2 and Waste Scope 3 (Total BASIC emissions)",59059034,3609079,,,,12330126,2016,"(55.755826, 37.6173)","(61.52401, 105.318756)"
35755,Village of Kadiovacik,Kadiovacik,Turkey,Europe,,Public,2017,2016-01-01 - 2016-12-31,Administrative boundary of a local government,Other: GHG Protocols,CO2,413,Total Scope 1 and Scope 2,366,447,,Decreased,,218,2017,"(38.3434574, 26.553613)","(38.963745, 35.243322)"
35863,City of Durban,Durban,South Africa,Africa,C40,Public,2017,2015-01-01 - 2015-12-31,Administrative boundary of a local government,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)",,38017845,"Total Scope 1, Scope 2 and Waste Scope 3 (Total BASIC emissions)",11605283,9459527,,Decreased,Fluctuating data availability,3700000,2016,"(-29.8586804, 31.0218404)","(-30.559482, 22.937506)"
14088,City of Oslo,Oslo,Norway,Europe,C40,Public,2017,2015-01-01 - 2015-12-01,Administrative boundary of a local government,Other,CO2; CH4; N2O,1233,Total Scope 1 and Scope 2,,,"Emission factors: The emission factors are updated, but some are national, not local. Level of confidence: High/mediumActivity data: Based on fuel sales, traffic counts and some top-down anlyses, like waste water handling. Level of confidence: Medium/highAverage score: medium/high",Decreased,"The main reason for decreased GHG-emissions is that emissions from stationary energy use in residential, commercial and institutional buildings have been significantly reduced. The success is partly due to national and local support schemes to convert from fossil heating oil to renewables and also adaptions to a warned ban on fossil heating oil.",658390,2016,"(59.9138688, 10.7522454)","(60.472024, 8.468946)"
36263,Comune di Ravenna,Ravenna,Italy,Europe,,Public,2017,2016-01-01 - 2016-09-30,Administrative boundary of a local government,2006 IPCC Guidelines for National Greenhouse Gas Inventories,CO2,9326,Total Scope 1 and Scope 2,9242,84,,Decreased,According to the Convenant of Mayors a series of actions have been implemented and are still on going in order to reach the goal of a reduction of CO2 emissions by at least 20% by 2020.,391414,2016,"(41.913028, 12.518037)","(41.87194, 12.56738)"
36036,City of Ibadan,Ibadan,Nigeria,Africa,,Public,2017,2017-05-04 - 2017-05-04,A metropolitan area,Other,CO2; PFCs; CH4; SF6; N2O; NF3; HFCs,10000,Total Scope 1 and Scope 2,,,,,,5591589,2011,"(7.377535, 3.94704)","(9.081999, 8.675277)"
35868,Free and Hanseatic City of Hamburg,Hamburg,Germany,Europe,,Public,2017,2014-01-01 - 2014-12-31,Administrative boundary of a local government,Other,CO2,17465,Total Scope 1 and Scope 2,,,Official data from Statistikamt Nord.,Decreased,"In contrast to last year, the main sector responsible for the reduction of CO2 emissions was households/businesses, trade, services. This is mainly due to a lower consumption of heating energy, in particular natural gas, caused by significantly warmer weather. The second factor is a significant decline in electricity consumption.",1787408,2015,"(53.5510846, 9.9936818)","(51.165691, 10.451526)"
55616,Los Altos Hills,Los Altos Hills,USA,North America,,Public,2017,2015-01-01 - 2015-12-31,Administrative boundary of a local government,U.S. Community Protocol for Accounting and Reporting of Greenhouse Gas Emissions (ICLEI),CO2,57243,Total Scope 1 and Scope 2,47552,9691,,Decreased,"From 2014 to 2015 our emissions decreased from 78,678 MT to 77,583 MT. This was primarily due to decreased VMT (data obtained from state agencies) and reductions in Heating Fuel use due to a milder winter.",7992,2016,"(37.3797, -122.1375)","(37.09024, -95.712891)"
59595,"City of Brisbane, CA","Brisbane, CA",USA,North America,,Public,2017,2015-05-01 - 2016-05-01,A metropolitan area,International Emissions Analysis Protocol (ICLEI),CO2; CH4; N2O,148025,Total Scope 1 and Scope 2,,,"Our inventory is completed by consultants contracted by the County, DVN GL.",Decreased,There was a 10% reduction between 2005 and 2010,4603,2015,"(37.6808, -122.4)","(37.09024, -95.712891)"
