country,population,area,gini_index,happy_planet_index,hdi_index,world_happiness_score,sustainable_economic_development_assessment,gdp_billions,gdp_per_capita,gdp_growth_annual_pct,health_expenditure_pct_gdp,health_expenditure_per_person,education_expenditure_pct_gdp,education_expenditure_per_person,school_years,unemployment_pct,government_spending_score,government_expenditure_pct_gdp,political_rights_score,civil_liberties_score,political_stability,government_effectiveness,regulatory_quality,rule_of_law,control_of_corruption,judicial_effectiveness_score,government_integrity_score,property_rights_score,overall_economic_freedom_score,women_mps_pct,index,happiest_country,region,employment_rate,population_scaled,area_scaled,gini_index_scaled,happy_planet_index_scaled,hdi_index_scaled,world_happiness_score_scaled,sustainable_economic_development_assessment_scaled,gdp_billions_scaled,gdp_per_capita_scaled,gdp_growth_annual_pct_scaled,health_expenditure_pct_gdp_scaled,health_expenditure_per_person_scaled,education_expenditure_pct_gdp_scaled,education_expenditure_per_person_scaled,school_years_scaled,unemployment_pct_scaled,government_spending_score_scaled,government_expenditure_pct_gdp_scaled,political_rights_score_scaled,civil_liberties_score_scaled,political_stability_scaled,government_effectiveness_scaled,regulatory_quality_scaled,rule_of_law_scaled,control_of_corruption_scaled,judicial_effectiveness_score_scaled,government_integrity_score_scaled,property_rights_score_scaled,overall_economic_freedom_score_scaled,women_mps_pct_scaled,index_scaled,employment_rate_scaled
Finland,6e6,303815,27.2,31.3,0.92,7.788251877,81.3,231.4,42165,0.4,9.44569068,3669,7.15155983,3569.6700358737103,19,9,2.3,57.1,1,1,1.07,1.94,1.82,2.03,2.22,82.7,89.8,89,74.1,42,1,TRUE,Scandinavian Europe,91,0.004113444468499676,0.018531544578494815,NA,NA,0.9436860068259387,1,0.9421965317919075,0.010719352141521756,0.4016700370581804,0.5124378109452736,0.4794239826168888,0.3826809764309764,NA,NA,0.9230769230769231,0.33984375,0,1,0,0,0.869674185463659,0.9321608040201005,0.9184782608695652,1,0.9945504087193462,0.8543307086614174,0.9274292742927428,0.8832298136645962,0.7054108216432865,0.8741573033707865,0,0.66015625
Denmark,6e6,42434,29,32.7,0.929,7.593702316,82,273.9,47985,1.2,10.32620701,5083,NA,NA,19,6.1,10.6,54.6,1,1,0.87,1.8,1.62,1.86,2.19,83.6,84.1,84.8,76.6,37.4,2,TRUE,Scandinavian Europe,93.9,0.004113444468499676,0.002571710597257469,NA,NA,0.9590443686006828,0.9561936865051074,0.952312138728324,0.012715725787510688,0.45798299000493464,0.5522388059701492,0.5414467735066545,0.5314604377104377,NA,NA,0.9230769230769231,0.2265625,0.08829787234042553,0.9457700650759219,0,0,0.8195488721804511,0.8969849246231156,0.8641304347826086,0.9547872340425532,0.9863760217983651,0.8661417322834647,0.8573185731857318,0.8310559006211181,0.7555110220440882,0.7707865168539325,0.007462686567164179,0.7734375000000002
Norway,5e6,304282,26.8,36.8,0.953,7.578744888,85.3,364.4,69250,1.6,9.98,6222,7.68073988,7465.679904935809,18,4.8,29.2,48.6,1,1,1.15,1.98,1.81,2.02,2.24,86,93.6,86.4,74.3,39.6,3,TRUE,Scandinavian Europe,95.2,0.0033917875442014867,0.018560059437911672,NA,NA,1,0.9528257540529479,1,0.016966827316028298,0.6637381350930325,0.572139303482587,0.5170602581699077,0.6513047138047138,NA,NA,0.8461538461538461,0.17578125000000003,0.28617021276595744,0.8156182212581345,0,0,0.8897243107769423,0.9422110552763819,0.9157608695652174,0.9973404255319149,1,0.8976377952755907,0.9741697416974169,0.8509316770186336,0.7094188376753507,0.8202247191011236,0.014925373134328358,0.8242187500000001
Iceland,3e5,100250,28,31.1,0.935,7.476213932,83.7,16.5,49136,4,8.6091496,4116,NA,NA,20,3.8,44.2,43.1,1,1,1.37,1.45,1.43,1.61,1.84,72.6,77.3,86.7,77,47.6,4,TRUE,Scandinavian Europe,96.2,0,0.006101935676583121,NA,NA,0.9692832764505122,0.9297390753764176,0.9768786127167631,6.247475174506544e-4,0.46911979564784084,0.6915422885572139,0.42049876941211056,0.4297138047138047,NA,NA,1,0.13671875,0.4457446808510639,0.6963123644251626,0,0,0.9448621553884712,0.8090452261306532,0.8125,0.8882978723404256,0.891008174386921,0.7217847769028871,0.7736777367773677,0.8546583850931678,0.7635270541082165,1,0.022388059701492536,0.86328125
Netherlands,17e6,33893,30.3,35.3,0.931,7.458965302,80.3,869.4,51049,1.9,10.6902779,5313,5.529310226,2883.9445558801453,18,6.2,39.1,45,1,1,0.92,1.85,2.05,1.83,1.87,74.1,86,87.9,76.2,36,6,TRUE,Europe,93.8,0.01205167063577975,0.0020502000741752704,NA,NA,0.9624573378839592,0.9258552378120789,0.9277456647398844,0.040688443580132086,0.4876295343054252,0.5870646766169154,0.5670916047382581,0.5556607744107744,NA,NA,0.8461538461538461,0.23046875000000003,0.3914893617021277,0.737527114967462,0,0,0.8320802005012531,0.9095477386934674,0.9809782608695652,0.946808510638298,0.8991825613079019,0.7414698162729659,0.8806888068880688,0.8695652173913043,0.74749498997996,0.7393258426966292,0.03731343283582089,0.7695312499999999
Israel,9e6,20330,42.8,28.8,0.903,7.331036091,66.5,300.6,35179,2.6,7.4313808,2819,5.739089966,2154.4517327115427,16,5.6,51.8,40.1,1,3,-0.88,1.39,1.27,1.02,0.83,83.1,61.2,78.2,72.2,27.5,7,TRUE,Israel,94.4,0.006278415241394241,0.0012220479579636019,NA,NA,0.9146757679180888,0.8970496877331442,0.7283236994219654,0.013969918172167266,0.334075141991853,0.6218905472636815,0.33753777765073073,0.2932449494949495,NA,NA,0.6923076923076923,0.20703125,0.526595744680851,0.631236442516269,0,0.3333333333333333,0.38095238095238093,0.7939698492462312,0.7690217391304348,0.7313829787234043,0.6158038147138964,0.8595800524934385,0.5756457564575647,0.7490683229813665,0.6673346693386775,0.548314606741573,0.04477611940298507,0.7929687500000002
New Zealand,47e5,264537,36.2,31.3,0.917,7.32718277,78.6,177,37294,3.4,9.34035114,3530,6.355259895,2831.942817038217,19,5.2,49.5,41,1,1,1.59,1.77,2.09,1.92,2.24,88.4,95.7,95.1,84.2,34.2,8,TRUE,New Zealand,94.8,0.00317529046691203,0.01613324340467177,NA,NA,0.938566552901024,0.8961820435870727,0.9031791907514451,0.00816399387465592,0.3545393852018848,0.6616915422885572,0.47200395866134875,0.3680555555555556,NA,NA,0.9230769230769231,0.19140625000000003,0.5021276595744681,0.6507592190889371,0,0,1,0.8894472361809045,0.9918478260869564,0.9707446808510639,1,0.9291338582677168,1,0.9590062111801241,0.9078156312625252,0.698876404494382,0.05223880597014925,0.8085937499999999
Austria,9e6,82445,30.5,30.5,0.908,7.293727875,80.3,417.2,48005,0.9,10.31988167,5138,5.448979855,2817.3673823401173,16,6.1,19.4,51.8,1,1,1.04,1.46,1.44,1.81,1.53,80.9,73.5,83.5,71.8,30.6,9,TRUE,Europe,93.9,0.006278415241394241,0.005014768499030311,NA,NA,0.9232081911262799,0.8886490755825408,0.9277456647398844,0.019447027986809844,0.45817650530715714,0.5373134328358209,0.5410012221559752,0.5372474747474747,NA,NA,0.6923076923076923,0.2265625,0.18191489361702126,0.8850325379609544,0,0,0.8621553884711779,0.8115577889447236,0.8152173913043478,0.9414893617021277,0.8065395095367848,0.830708661417323,0.7269372693726938,0.8149068322981365,0.6593186372745491,0.6179775280898876,0.05970149253731343,0.7734375000000002
Sweden,1e7,410335,24.9,28,0.933,7.286804676,81.9,496,59561,0.9,11.01207026,5299,7.681250095,4545.781315406601,18,4.6,65.4,34,1,1,0.98,1.84,1.8,1.94,2.14,82.1,82.8,84.2,81.7,43.6,10,TRUE,Scandinavian Europe,95.4,0.00700007216569243,0.025035619150408618,NA,NA,0.9658703071672357,0.8870901934950015,0.9508670520231217,0.023148539593961088,0.5699896469313311,0.5373134328358209,0.58975837373981,0.5541877104377104,NA,NA,0.8461538461538461,0.16796875,0.6712765957446809,0.4989154013015184,0,0,0.8471177944862155,0.9070351758793971,0.9130434782608696,0.976063829787234,0.9727520435967303,0.846456692913386,0.8413284132841328,0.8236024844720499,0.8577154308617235,0.9101123595505618,0.06716417910447761,0.8320312500000002
Australia,25e6,7682300,30.3,21.2,0.939,7.25703764,78.9,1187.3,48899,2.5,9.44533327,4492,5.192669868,3236.4742114028095,20,5.7,61.2,36,1,1,0.9,1.54,1.93,1.68,1.8,93.4,77.4,78.7,80.9,28.7,11,FALSE,NA,94.3,0.01782492603016526,0.4690593015044,NA,NA,0.9761092150170648,0.880387612907684,0.9075144508670522,0.05562131845212931,0.466826639316504,0.6169154228855721,0.47939880697285286,0.4692760942760943,NA,NA,1,0.21093750000000003,0.6265957446808511,0.5422993492407809,0,0,0.8270676691729323,0.8316582914572864,0.9483695652173914,0.9069148936170214,0.8801089918256131,0.9947506561679793,0.7749077490774909,0.7552795031055901,0.8416833667334671,0.5752808988764044,0.07462686567164178,0.7890624999999999
Costa Rica,49e5,51060,48.5,44.7,0.794,7.22518158,58.9,80.7,16436,3.7,8.14558457,1286,6.858910084,729.1705870492619,15,9,88.9,19.3,1,1,0.51,0.25,0.45,0.45,0.47,57.8,51.8,54.8,65.6,35.1,12,FALSE,NA,91,0.0033196218517716676,0.0030984111911114727,NA,NA,0.7286689419795223,0.87321465120117,0.6184971098265897,0.0036404460603327604,0.15272227651401535,0.6766169154228856,0.38784565902686874,0.13194444444444445,NA,NA,0.6153846153846154,0.33984375,0.9212765957446809,0.18004338394793928,0,0,0.7293233082706767,0.507537688442211,0.5461956521739131,0.5797872340425533,0.5177111716621253,0.5275590551181103,0.46002460024600245,0.4583850931677018,0.5350701402805611,0.7191011235955056,0.08208955223880597,0.66015625
