"","day_hour","date_group","day_hour_numeric","bikes_south","bikes_north"
"1","Mon 0:00",2017-01-02 00:00:00,1,0.458333333333333,0.354166666666667
"2","Mon 1:00",2017-01-02 01:00:00,2,0.145833333333333,0.0416666666666667
"3","Mon 2:00",2017-01-02 02:00:00,3,0.145833333333333,0.229166666666667
"4","Mon 3:00",2017-01-02 03:00:00,4,0.25,0.541666666666667
"5","Mon 4:00",2017-01-02 04:00:00,5,1.04166666666667,3.25
"6","Mon 5:00",2017-01-02 05:00:00,6,2.97916666666667,10.3333333333333
"7","Mon 6:00",2017-01-02 06:00:00,7,9.4375,30.0833333333333
"8","Mon 7:00",2017-01-02 07:00:00,8,15.7083333333333,54.375
"9","Mon 8:00",2017-01-02 08:00:00,9,22.9375,54.8958333333333
"10","Mon 9:00",2017-01-02 09:00:00,10,26.8333333333333,32.0208333333333
"11","Mon 10:00",2017-01-02 10:00:00,11,25.125,28.5416666666667
"12","Mon 11:00",2017-01-02 11:00:00,12,25.1666666666667,27.1458333333333
"13","Mon 12:00",2017-01-02 12:00:00,13,28.375,28.625
"14","Mon 13:00",2017-01-02 13:00:00,14,30.125,28.8958333333333
"15","Mon 14:00",2017-01-02 14:00:00,15,34.6875,31.5833333333333
"16","Mon 15:00",2017-01-02 15:00:00,16,44.875,32.0208333333333
"17","Mon 16:00",2017-01-02 16:00:00,17,65.1875,33.1666666666667
"18","Mon 17:00",2017-01-02 17:00:00,18,88.1666666666667,36.9583333333333
"19","Mon 18:00",2017-01-02 18:00:00,19,60.4166666666667,32.875
"20","Mon 19:00",2017-01-02 19:00:00,20,27.7291666666667,20.0416666666667
"21","Mon 20:00",2017-01-02 20:00:00,21,11.625,10.2916666666667
"22","Mon 21:00",2017-01-02 21:00:00,22,3.75,3.77083333333333
"23","Mon 22:00",2017-01-02 22:00:00,23,1.79166666666667,0.875
"24","Mon 23:00",2017-01-02 23:00:00,24,0.520833333333333,0.291666666666667
"25","Tue 0:00",2017-01-03 00:00:00,25,0.5,0.3125
"26","Tue 1:00",2017-01-03 01:00:00,26,0.166666666666667,0.104166666666667
"27","Tue 2:00",2017-01-03 02:00:00,27,0.270833333333333,0.104166666666667
"28","Tue 3:00",2017-01-03 03:00:00,28,0.166666666666667,0.854166666666667
"29","Tue 4:00",2017-01-03 04:00:00,29,1.125,3.875
"30","Tue 5:00",2017-01-03 05:00:00,30,3.85416666666667,12.6875
"31","Tue 6:00",2017-01-03 06:00:00,31,9.83333333333333,32.5
"32","Tue 7:00",2017-01-03 07:00:00,32,16.625,60.125
"33","Tue 8:00",2017-01-03 08:00:00,33,21.8125,55.6041666666667
"34","Tue 9:00",2017-01-03 09:00:00,34,23.6458333333333,31.9583333333333
"35","Tue 10:00",2017-01-03 10:00:00,35,22.3333333333333,22.5416666666667
"36","Tue 11:00",2017-01-03 11:00:00,36,23.1666666666667,21.2708333333333
"37","Tue 12:00",2017-01-03 12:00:00,37,21.2708333333333,24.5625
"38","Tue 13:00",2017-01-03 13:00:00,38,24.7083333333333,23.1041666666667
"39","Tue 14:00",2017-01-03 14:00:00,39,31.5833333333333,23.3333333333333
"40","Tue 15:00",2017-01-03 15:00:00,40,39.625,27.5833333333333
"41","Tue 16:00",2017-01-03 16:00:00,41,65.0416666666667,33.6458333333333
"42","Tue 17:00",2017-01-03 17:00:00,42,90.375,38.2291666666667
"43","Tue 18:00",2017-01-03 18:00:00,43,61.1666666666667,34.4791666666667
"44","Tue 19:00",2017-01-03 19:00:00,44,28.0416666666667,20.1041666666667
"45","Tue 20:00",2017-01-03 20:00:00,45,11.125,10.4375
"46","Tue 21:00",2017-01-03 21:00:00,46,4.29166666666667,5.08333333333333
