	city name	City Name (CDP)	country	region (CDP)	Boundary (CDP)	Reporting Year (CDP)	Measurement year only (CDP)	Current Population (CDP)	Current Population Year (CDP)	scope fraction (CDP)	Total City-wide Emissions (metric ton CO2e) (CDP)	Total Scope 1 Emissions (metric ton CO2e) (CDP)	Total Scope 2 Emissions (metric ton CO2e) (CDP)	CDP2016 data edited (CDP)	Emissions Quality Flag (CDP)	Gases included (CDP)	TOT lower bound [tCO2] (CDP)	TOT upper bound [tCO2] (CDP)	TOT mean [tCO2] (CDP)	S1 lower bound [tCO2] (CDP)	S1 upper bound [tCO2] (CDP)	S1 mean [tCO2] (CDP)	Primary Methodology (CDP)	Methodology Details (CDP)	Increase/Decrease from last year (CDP)	Reason for increase/decrease in emissions (CDP)	Average annual temperature (in Celsius) (CDP)	Land area (in square km) (CDP)	Average altitude (m) (CDP)	CH4_waste/person	CH4_(waste+natgas)/person	corrected CH4_(waste+natgas)/person	Production (m3)	Exports (m3)	Export/Production	data from CIA World Fact Book for 2014	City Location (CDP)	City GDP (CDP)	GDP Currency (CDP)	Year of GDP (CDP)	GDP Source (CDP)
0	Pingtung	Pingtung County Government	Taiwan	East Asia	Administrative boundary of a local government	2017.0	2013.0	835792.0	2016.0	1.0	4969246.69	2768427.4	2200856.14	Replaced by CDP2017 data. Reason:  TOT >> s1+s2 (Case 2b) in CDP2016. Soln: Replace with CDP2017 data (no edits required).	B	CO2; CH4; N2O	4619977.32673442	4666858.248314074	4643417.787524248	2419158.036734419	2466038.9583140737	2442598.4975242466	Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)		Increased	The main increased department are energy, industry, and waste	25.0	2775.0	750.0	0.0129213814	0.0149246533	0.0149246533	1	0	0.0		(22.551976, 120.54876)				
1	Lima	Metropolitan Municipality of Lima	Peru	Latin America & Caribbean	A metropolitan area	2016.0	2012.0	8755262.0	2014.0	1.0	27810839.0	12378734.0	15432105.0	CDP2016 TOT recalculated by summing both CDP2016 scopes.	A	CO2; CH4; N2O	25359955.366431482	26437835.475654125	25898895.421042804	9927850.366431482	11005730.475654125	10466790.421042804	Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)	La metodología Global Protocol for Community- scale Greenhouse Gas emissions (GPC) establece que los límites pueden definirse en cualquiera de tres niveles: Internacional, inter-ciudades/subnacional, o al interior de la ciudad.	This is our first year of calculation		18.0	2672.0	154.0	0.0056007279000000005	0.009997594399999999	0.009997594399999999	1	0	0.0		(-12.046374, -77.042793)				INEI
2	Lahti	City of Lahti	Finland	Europe	Administrative boundary of a local government	2017.0	2015.0	119452.0	2016.0	1.0	874807.0	717200.0	157607.0	Replaced by CDP2017 data. Reason:  TOT << s1+s2 (Case 3a) in CDP2016. Soln: Derive TOT (CDP2017) from s1 (CDP2017) and s2 (CDP2017) then replace CDP2016 values by CDP2017	A	CO2; CH4; N2O	693575.5162445408	697970.3102776752	695772.913261108	535968.5162445408	540363.3102776752	538165.913261108	2006 IPCC Guidelines for National Greenhouse Gas Inventories	Energy production CHP, process power, wastes and waste water calculations quite high level of confidence. Traffic calculation is based on national LIISA model, not actual emissions. Separate heating, industrial machinery, agriculture and its energy use are not so high level of confidence, because information harder to find .and emission calculatios are based on statistics. Calculations are made with national tool called KASVENER (2007), but with updated GWP factors.	Decreased	Decreased from baseline year 1990. New waste gasification plant 2012 and collecting separate energy waste from citizens. Effective waste water treatment with collecting biogas before composting the sludge. Effective and energy-efficient waste and biowaste collection and treatment (new biogas plant 2014). Better energy effiency in buildings.	4.0	517.0	119.0	0.0528714133	0.054185388200000004	0.054185388200000004	1	0	0.0		(60.9833, 25.65)	6057000000.0	EUR     Euro	2013.0	http://www.tilastokeskus.fi/tup/suoluk/suoluk_vaesto.html#bruttokansantuote
3	Cascais	Cascais	Portugal	Europe	Administrative boundary of a local government	2016.0	2010.0	208122.0	2014.0	1.0	831603.0	565382.0	266221.0	CDP2016 TOT recalculated by summing both CDP2016 scopes.	A	CO2							2006 IPCC Guidelines for National Greenhouse Gas Inventories	this was made with calculous platforms from international organizations such as UN (IPCC, and ICLEI) as well as EU comission	Decreased	We have verified a decrease in fuel consumption between the mentioned time period.	17.0	97.0		0.0311275785	0.036136885099999995	0.036136885099999995	1	0	0.0		(38.6970565, -9.4222945)			2014.0	
4	Santiago	Región Metropolitana de Santiago	Chile	Latin America & Caribbean	A metropolitan area	2016.0	2013.0	7314176.0	2015.0	1.0	31426696.8	23120027.8	8306669.0	CDP2016 TOT recalculated by summing both CDP2016 scopes.	A	CO2; CH4; N2O	26669442.33588736	28239113.65382441	27454277.99485589	18362773.33588736	19932444.65382441	19147608.99485589	2006 IPCC Guidelines for National Greenhouse Gas Inventories	GPC was used for organizing information, while for the estimation of emissions (equations and emission factors) the IPCC guidelines was used.	This is our first year of calculation	This is the firs GHG inventory for the Metropolitan Region of Santiago.	14.0	15403.0	520.0	0.0155646043	0.02322913	0.02322913	1	0	0.0		(-33.44889, -70.669265)	125301713234.0	USD     US Dollar	2013.0	Central Bank of Chile
5	Ljubljana	City of Ljubljana	Slovenia	Europe	Administrative boundary of a local government	2017.0	2014.0	288307.0	2016.0	1.0	2733850.0	1829808.0	904042.0	Replaced by CDP2017 data. Reason:  TOT >> s1+s2 (Case 2b) in CDP2016. Soln: Replace with CDP2017 data (no edits required).	B	CO2; CH4; N2O	2593970.524304597	2615833.3100187094	2604901.9171616533	1689928.5243045972	1711791.3100187092	1700859.9171616533	Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)		Decreased	due to the actions taken. city centre closed for traffic, ordering of electricity (100 % RES), refurbishment of building (public and private through subsidies from public companies and state Eco-fund), iintroduction of CNG and electric buses in public transport, installation on electric cars charging stations, ...		275.0		0.0146194223	0.017327694299999998	0.017327694299999998	1	0	0.0		(46.056947, 14.505751)	8220687536.0	EUR     Euro	2014.0	Regional data (2014: 25329€/capita, source: stat.si), no special data for Ljubljana ( €/capita), $:€: 1,13
6	Suwon	Suwon City	South Korea	East Asia	Administrative boundary of a local government	2016.0	2013.0	1221973.0	2015.0	1.104797187261641	5775155.0	3670140.0	2710235.0		A	CO2; CH4; N2O; HFCs; PFCs; SF6	5237420.923762931	5401093.61847249	5319257.2711177105	3132405.9237629306	3296078.618472491	3214242.2711177105	2006 IPCC Guidelines for National Greenhouse Gas Inventories		Increased	Emissions increased 2.3% from last year’s emission total of 5,749,476 tons. This rise was due to a short-term phenomenon of rising waste generation at factory sites within Suwon. However, aside from the waste treatment sector, other sectors saw no increase in their emission rates.	13.1	121.0	75.0	0.0109325943	0.0157162134	0.0157162134	1	0	0.0		(37.2635727, 127.0286009)	12443320800000.0		2012.0	Match statistics
7	Lausanne	Ville de Lausanne	Switzerland	Europe	Administrative boundary of a local government	2016.0	2013.0	140000.0	2015.0	1.0060051283796363	499573.0	456843.0	45730.0		A	CO2							Other	Baseline Emission Inventory of the Covenant of Mayor	Decreased	see SEAP	12.0	55.0	500.0	0.0038276228000000004	0.007949217	0.007949217	1	0	0.0		(46.5198, 6.6335)	8834000000.0		2014.0	calculated by city government
8	Windsor, ON	City of Windsor	Canada	North America	Administrative boundary of a local government	2016.0	2014.0	210891.0	2011.0	1.0	2482412.0	2475703.0	6709.0	CDP2016 TOT recalculated by summing both CDP2016 scopes.	A	CO2; CH4; N2O	2048436.087094934	2205703.556257724	2127069.821676329	2041727.087094934	2198994.556257724	2120360.821676329	International Emissions Analysis Protocol (ICLEI)			Community emissions have decreased by 382,134 tonnes between 2011 and 2014, and by 1,250,176 tonnes. The largest sources of declines were in Industrial emissions and Commercial and Institutional emissions, respectively, and can likely be credited in no small part to efficiency improvements and the Province's shuttering of goal generation in the grid electricity mix	10.7	146.3	190.0	0.046860437000000005	0.1017275144	0.0734936045	151500000000	77960000000	0.51		(42.314937, -83.036363)	12065940000.0	CAD     Canadian Dollar	2014.0	City Economic Development Planning
9	Zaragoza	City of Zaragoza	Spain	Europe	Administrative boundary of a local government	2016.0	2014.0	661108.0	2015.0	1.001624100531823	1785603.75	1175162.74	613341.01		A	CO2							Other	Metodología propia basada en los factores oficiales del Ministerio de Agricultura y Medioambiente para las emisiones directas y en los de la Comisión Nacional de la Energía para las debidas al uso de la electricidad	Decreased	Fundamentalmente, las medidas adoptadas en las estrategias anteriormente citadas han conseguido una importante reducción de las emisiones en los sectores contemplados en el Pacto de Alcaldes: residencial y movilidad. Y ello tanto en el último año como desde 2015. Por su parte, el sector industrial ha reducido sus emisiones en el último año aunque, desde 2005 estas han aumentado, Aparte de la influencia de determinadas actuaciones del Ayuntamiento (Plan de Acuerdos voluntarios) la crisis económica ha frenado en parte el incremento de las emisiones en este sector.	16.3	969.0	208.0	0.0130245903	0.0140906081	0.0140906081	1	0	0.0		(41.608629, -0.887012)	33793459000.0	EUR     Euro	2015.0	provisional
