	city name	City Name (CDP)	full city name (carbonn)	full city name (PKU)	full city name (GEA)	full city name (UITP)	full city name (WB)	Boundary (CDP)	city_type (carbonn)	definition  (WB)	study_year (WB)	Reporting Year (CDP)	Scope-1 GHG emissions	Scope-1 source dataset	Scope-1 GHG emissions units	Year of Emission	Emissions Protocol	Gases included (CDP)	Methodology Details (CDP)	Increase/Decrease from last year (CDP)	Reason for increase/decrease in emissions (CDP)	Scope 2 [metric ton CO2e] (CDP)	Total Emissions [metric ton CO2e] (CDP)	CDP2016 data edited (CDP)	Emissions Quality Flag (CDP)	S1 lower bound [tCO2] (CDP)	S1 upper bound [tCO2] (CDP)	S1 mean [tCO2] (CDP)	TOT lower bound [tCO2] (CDP)	TOT upper bound [tCO2] (CDP)	TOT mean [tCO2] (CDP)	scope fraction (CDP)	CO2 Emissions Per Capita (Ton) (PKU)	City Location (CDP)	lat	lon	coord source	country	region	Current Population (CDP)	Current Population Year (CDP)	pop (carbonn)	pop_yr (carbonn)	Urban Population (PKU)	population (GEA)	population (UITP)	population (WB)	population_year (WB)	population (others)	population (others) source year	population (others) source	pop_1950 (WB)	pop_1990 (WB)	pop_2010 (WB)	growth_rate_1950-2010 (WB)	growth_rate_1990-2010 (WB)	Ancillary from GEA+	Land area (in square km) (CDP)	area_size (GEA)	area_size (WB)	Built-up Area (km2) (PKU)	area [km2] (others)	area [km2] (others) source year	area [km2] (others) source	population_density (GEA)	population_density (UITP)	pop_density (WB)	pop/sqrt(area_size) (GEA)	pop/sqrt(area) (WB)	Average altitude (m)	Average annual temperature (in Celsius) (CDP)	weather_station_id (GEA+)	CDD_23C (GEA+)	HDD_15.5C (GEA+)	HDD_15.5C (clim)	CDD_23C (clim)	City GDP (CDP)	GDP Currency (CDP)	Year of GDP (CDP)	GDP Source (CDP)	GDP (carbonn)	nGDP (carbonn)	GDP unit (carbonn)	GDP year (carbonn)	GDP (10000 RMB) (PKU)	Income Per Capita (RMB) (PKU)	GDP-PPP [$BN] (others)	GDP-PPP/cap [$USD] (others)	GDP-PPP [$BN] (others) source	GDP-PPP year (others)	nGDP [$BN] (others)	nGDP/cap [$USD] (others)	nGDP [$BN] (others) source	nGDP [$BN] (others) source year	GDP-PPP/cap (GEA)	GDP-PPP/cap (UITP)	GDP-PPP/cap (WB)	total_final_consumption_per_capita (GEA)	energy_per_cap_CO2 (WB)	diesel_price (GEA+)	gasoline_price (GEA+)	center_of_commerce_index (GEA+)	household_size (GEA+)	year_household_size (GEA+)	household_source (GEA+)	comment_household_size (GEA+)	urbanization_ratio (GEA+)	water_bounded (GEA+)	other_bounded (GEA+)	mean travel time [min] (others)	mean travel time ref year (others)	mean travel time ref (others)	diesel_price (2014) (others)	gasoline_price (2014) (others)	household_size (updated) (others)	year_household_size (updated) (others)	household_source (updated) (others)	comment_household_size (updated) (others)	Congestion Rank (INRIX)	Peak hours spent in congestion (INRIX)	INRIX Congestion Index (INRIX)	Average Congestion Rate (INRIX)	Congestion Rank (TomTom)	Congestion Level (TomTom)	Congestion Change (TomTom)	Morning Peak (TomTom)	Evening Peak (TomTom)	economy (IESE)	environment (IESE)	governance (IESE)	human capital (IESE)	international impact (IESE)	mobility and transportation (IESE)	public management (IESE)	social cohesion (IESE)	technology (IESE)	urban planning (IESE)	CIMI (IESE)	CIMI Ranking (IESE)	CIMI Performance (IESE)	Urban Area Name (UEX)	Low BUA - 1990 (UEX)	Low BUA – 2000 (UEX)	Low BUA – 2014 (UEX)	High BUA - 1990 (UEX)	High BUA – 2000 (UEX)	High BUA – 2014 (UEX)	Low BUA % - 1990 (UEX)	Low BUA % – 2000 (UEX)	Low BUA % – 2014 (UEX)	High BUA % - 1990 (UEX)	High BUA % – 2000 (UEX)	High BUA % – 2014 (UEX)	Low BUA pop density - 1990 (UEX)	High BUA pop density – 1990 (UEX)	Low BUA pop density – 2000 (UEX)	High BUA pop density - 2000 (UEX)	Low BUA pop density – 2014 (UEX)	High BUA pop density - 2014 (UEX)	Exports (m3)	Production (m3)	Export/Production	CH4_waste/person	CH4_(waste+natgas)/person	corrected CH4_(waste+natgas)/person	data from CIA World Fact Book for 2014
0	Aarhus	Aarhus Kommune						Administrative boundary of a local government				2016.0		CDP	tCO2	2016.0	Other	CO2	CO2-beregneren (National guideline for municipalities)				1900.0		D									(56.168393, 10.137373)	56.167	10.25	https://en.wikipedia.org/wiki/Aarhus_Municipality	Denmark	Europe	320000.0	2016.0								330639.0	2016.0	http://statistikbanken.dk/											467.85		http://www.noegletal.dk/noegletal/servlet/nctrlman.aReqManager											2582	0														2008.0																							1.8	2.01	2.10362550178588	2017	http://www.statistikbanken.dk/statbank5a/SelectVarVal/saveselections.asp		462.0	16.0	3.1	6.5%	- 	0.23	0.02	37%	39%														Aarhus Kommune Urban Area	37.625	40.125	42.6875	77.375	85.25	93.3125	0.32717391304347804	0.32003988035892306	0.313878676470588	0.672826086956522	0.679960119641077	0.686121323529412	238.58180900698997	2948.64334866848	257.630589338775	2660.08338107112	244.12263572251499	2783.3035885656896	4517000000.0	6412000000.0	0.7	0.0106834006	0.01703133	0.0125594652	
1	Abington	Abington Township						Other: Municipal boundary				2016.0	193345.0	CDP	tCO2-eq	2010.0	Other	CO2; CH4; N2O; HFCs; PFCs; SF6	"The Delaware Valley Regional Planning Commission (DVRPC) is the designated Metropolitan Planning Organization (MPO) for the Greater Philadelphia Region. DVRPC works to promote regional cooperation
in a 9-county, bi-state region. The region includes Bucks, Chester, Delaware, Montgomery (the county where Abington Township is located and the third largest Pennsylvania county), and
Philadelphia counties in Pennsylvania; and Burlington, Camden, Gloucester, and Mercer counties in New Jersey. DVRPC facilitates city, county and state representatives of this region to address key concerns
such as transportation, land use, environmental protection and economic development. DVRPC conducts a regional Energy Use and Greenhouse Gas Emissions Inventory on a 5-year interval, with the most recent inventory reflecting year 2010 conditions as summarized below: 1. DVRPC conducted a baseline inventory in 2005 which may be found at http://www.dvrpc.org/reports/09038A.pdf (Abington's results may be found on line 1 of page 66 or A-13 of this document under the Table ""Montgomery County, PA – 2005 Greenhouse Gas Emissions Allocated to Municipality (MTCO2E)""; 
2. A 2010 inventory for which Abington Townships results may be found at http://www.dvrpc.org/webmaps/MunicipalEnergy/mcdDetail.aspx?mcdcode=4209100156 under ""GHG Emissions by Sector"" which is further broken down at the end under ""Non-Energy Greenhouse Gas Emissions.""  The 2010 results are what is being reported for this questionnaire."	Decreased	Energy efficiency by residents, businesses, industries, municipal government, and institutions such as hospitals and four public schools with geothermal HVAC, and a cleaner electricity generation mix contributed to this decrease.	421879.0	615224.0		A	138111.799837664	165934.941020844	152023.37042925402	559990.799837664	587813.941020844	573902.370429254	1.0		(40.12408, -75.119511)	40.1	-75.099722	https://en.wikipedia.org/wiki/Abington_Township,_Montgomery_County,_Pennsylvania	USA	North America	55310.0	2010.0								55557.0	2016.0	https://www.census.gov/quickfacts/fact/table/abingtontownshipmontgomerycountypennsylvania/PST045216							40.1				40.1707449	2010.0	https://www.census.gov/quickfacts/fact/table/abingtontownshipmontgomerycountypennsylvania/PST045216						86.0	13.6				627	48														2008.0			[20] Economic growth widespread across metropolitan areas in 2014. GDP by metropolitan area statistics. Available at https://bea.gov/newsreleases/regional/gdp_metro/2015/pdf/gdp_metro0915.pdf																	27.8	(2011-2015) 		0.97	0.86	2.62	2011-2015	https://www.census.gov/quickfacts/fact/table/abingtontownshipmontgomerycountypennsylvania/PST045216																								see: New York and Philadelphia Urban Area																			42870000000.0	766200000000.0	0.06	0.017698981699999998	0.036729479100000004	0.0356646952	
2	Addis Ababa	Addis Ababa City Administration						Administrative boundary of a local government				2016.0	3708292.0	CDP	tCO2-eq	2012.0	Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)	CO2; CH4; N2O	Reported according to the BASIC+ requirement	This is our first year of calculation	lack of capacity		3708292.0	CDP2016 TOT likely wrong because one scope is missing.	E	1983266.6727658424	3298555.814217445	2640911.243491644	1983266.6727658424	3298555.814217445	2640911.243491644			(9.028874, 38.754366)	9.03	38.74	https://en.wikipedia.org/wiki/Addis_Ababa	Ethiopia	Africa	3384569.0	2008.0								3270000.0	2016.0	http://www.c40.org/cities/addis-ababa							540.0				540.0	2016.0	http://www.c40.org/cities/addis-ababa						2650.0					73	0		ETB     Ethiopian Birr									12.0		[2]  Global city GDP rankings 2008-2025. Pricewaterhouse Coopers. Archived from the original on 4 May 2011. Retrieved 27/09/2017 at https://web.archive.org/web/20110504031739/https://www.ukmediacentre.pwc.com/imagelibrary/downloadMedia.ashx?MediaDetailsID=1562	2008.0																							0.89	0.99																											Addis Ababa City Administration Urban Area	82.375	103.75	202.125	102.8125	155.0625	281.75	0.44481943975700294	0.400869355228206	0.41772151898734206	0.555180560242997	0.5991306447717939	0.582278481012658	935.715604190152	10768.6152251577	3063.22749910656	16527.7609118362	1600.27738176964	13451.8381597321	0.0	1.0	0.0	0.0043235742	0.0182026271	0.0182026271	
3	Adelaide	City of Adelaide						Administrative boundary of a local government				2016.0	63724.0	CDP	tCO2-eq	2013.0	Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)	CO2; CH4; N2O		Decreased	Reduction in electricity consumption, a reduction in the greenhouse gas intensity of the state electricity grid and a change in methodology used for estimating transport inventories.	422817.0	486541.0		A	41872.9652379316	45693.5509093012	43783.2580736164	464689.9652379316	468510.55090930115	466600.2580736164	1.0		(-34.928499, 138.600746)	-34.929	138.601	https://en.wikipedia.org/wiki/Adelaide	Australia	Oceania	23169.0	2015.0								22393.0	2010.0	https://en.wikipedia.org/wiki/City_of_Adelaide#cite_note-1							16.0				15.57		https://en.wikipedia.org/wiki/City_of_Adelaide						38.0	18.0				528	60	18360000000.0	AUD     Australian Dollar	2015.0	:  http://economy.id.com.au/adelaide							47.433	36217.0	[1] Berube A., J. L. Trujillo, T. Ran, J. Parilla (Thursday, January 22, 2015), Brookings/Global Metro Monitor Report. Available online at https://www.brookings.edu/wp-content/uploads/2015/01/bmpp_gmm_final.pdf and the 2014 Global Metro Monitor Map, available at https://www.brookings.edu/research/global-metro-monitor/. The data retrieved 27/09/2017.	2014.0	56.0	46242.77456647399	[19]																	33.23	2014-2017	https://www.numbeo.com/traffic/in/Adelaide [BASED ON 37 CONTRIBUTORS]	1.28	1.23	1.7	2011	http://www.censusdata.abs.gov.au/census_services/getproduct/census/2011/quickstat/SED40001?opendocument&navpos=220						100	0.27	0.02	45%	41%														City of Adelaide Urban Area	234.5625	244.5	250.125	595.0	617.625	639.25	0.28275446394937104	0.28360156589821695	0.28123682361208696	0.717245536050629	0.7163984341017828	0.718763176387913	401.92817890774694	6206.60559235331	75.9820796470134	1470.03035279979	74.7925803688524	1789.25977761853	31610000000.0	62640000000.0	0.5	0.0277933709	0.039682077	0.0336826837	
4	Aerøskøbing	City of Ærøskøbing						Administrative boundary of a local government				2016.0		CDP	tCO2	2015.0	Other	CO2		Decreased	More renewable energi.		225.0		D									(54.891456, 10.404684)	54.883	10.333333	https://en.wikipedia.org/wiki/Ærø	Denmark	Europe	6200.0	2015.0								6383.0	2014.0	(whole island of Ærø) https://en.wikipedia.org/wiki/Ærø							88.0				88.0		https://en.wikipedia.org/wiki/%C3%86r%C3%B8						10.0	10.0				2335	0														2008.0																							1.8	2.01	1.79083260806498	2017	http://www.statistikbanken.dk/statbank5a/SelectVarVal/saveselections.asp																																											4517000000.0	6412000000.0	0.7	0.0106834006	0.01703133	0.0125594652	
5	Aguascalientes		Municipality of Aguascalientes						Municipality				3839803.0	carbonn	tCO2-eq	2010.0	Community																		21.8897	-102.295	carbonn	Mexico	Latin America & Caribbean			934424.0	2012.0						934424.0	2012.0	Wikipedia											385.0	2012.0	Wikipedia											24	2385					8321480.0	9736522.00867773	USD	2013.0																													1.02	1.03					480.0	16.0	3.7	8.1%																			Aguascalientes Urban Area	57.0	63.1875	72.9375	70.5	96.5	130.4375	0.44705882352941206	0.395694716242661	0.35863552550706795	0.552941176470588	0.6043052837573389	0.641364474492932	1846.46179966597	17478.1569122665	1457.2582249642	6440.99130945749	417.50976330755697	7286.42363132537							
6	Ahmedabad		Ahmedabad Municipal Corporation		Ahmadabad				Municipality				13855311.0	carbonn	tCO2-eq	2008.0	Community																		23.03	72.58	carbonn	India	South Asia			5570585.0	2011.0		4900000.0				5633927.0	2011.0	Wikipedia						1.0		464.0			464.165	2011.0	Wikipedia	10560.344827586208			227476.78926688852				VAAH	2120.0	26.0	0	1510						10930377619.2687					49.0		[2]	2008.0	12.0	1954.3973941368079	"[3] The Most Dynamic Cities of 2025. Foreign Policy. Retrieved 24/08/2012. http://foreignpolicy.com/2012/08/07/the-most-dynamic-cities-of-2025/,
[19] Global Cities of the Future. Dynamic map. McKinsey&CompacKinsey Global Institute City Scope v2.0 Last updated June 2012. Retrieved 27/09/2017. Available at: http://www.mckinsey.com/tools/Wrappers/Redesign/InteractiveWrapper.aspx?sc_itemid={C84CB74F-A3B1-47B1-8265-6252F6D85B68}"	2010.0	6247.853520636172			15.773275142857141		0.7	1.09		4.8	2011.0	Household: http://www.censusindia.gov.in/2011census/hlo/District_Tables/Distt_table/24/HH1604-2400CRCD.pdf -- Population: http://www.censusindia.gov.in/2011-prov-results/prov_data_products_gujarat.html	Calculation: pop/household (7208200/1494656)	29.235	0.0	River				0.91	1.1																											Ahmedabad Urban Area	169.125	195.1875	253.25	246.25	284.375	370.375	0.407162202828769	0.407011599113776	0.406093405492083	0.592837797171231	0.592988400886224	0.593906594507917	602.098195619898	4249.95271171154	1340.10849474731	19016.3517220499	1134.35657549905	19233.7632585539							
7	Ajax, ON	Town of Ajax, ON						Administrative boundary of a local government				2016.0	6354.0	CDP	tCO2	2008.0	International Emissions Analysis Protocol (ICLEI)	CO2	PCP Protocol method	Increased	Emissions have increased as the population of the Town has increased since 2008 from 103,855 to 130,335 people in 2016.		538836.0		C									(43.850855, -79.020373)	43.858	-79.036389	https://en.wikipedia.org/wiki/Ajax,_Ontario	Canada	North America	109600.0	2011.0								109600.0	2011.0	https://en.wikipedia.org/wiki/Ajax,_Ontario#cite_note-census2011-2							67.1				67.07		https://en.wikipedia.org/wiki/Ajax,_Ontario#cite_note-census2011-2						90.0	7.8				1834	18		CAD     Canadian Dollar												2008.0																				34.9	2011	Avg for DURHAM region, not specifically Ajax. https://www.durhamregion.com/community-story/6261303-durham-commuter-life-getting-longer-more-time-consuming/	1.16	1.17	3.2	2011	average number of persons per census family [http://www12.statcan.ca/nhs-enm/2011/dp-pd/prof/details/page.cfm?Lang=E&Geo1=CSD&Code1=3518005&Data=Count&SearchText=ajax&SearchType=Begins&SearchPR=35&A1=All&B1=Families%20and%20households&Custom=&amp;TABID=1#tabs2]average number of persons per census family [http://www12.statcan.ca/nhs-enm/2011/dp-pd/prof/details/page.cfm?Lang=E&Geo1=CSD&Code1=3518005&Data=Count&SearchText=ajax&SearchType=Begins&SearchPR=35&A1=All&B1=Families%20and%20households&Custom=&amp;TABID=1#tabs2]																								see: Toronto Urban Area																			77960000000.0	151500000000.0	0.51	0.046860437000000005	0.1017275144	0.0734936045	
8	Albany	City of Albany						Administrative boundary of a local government				2017.0	663997.0	CDP	tCO2-eq	2010.0	Other: New York Community and Regional GHG Inventory Guidance	CO2; CH4; N2O; HFCs; PFCs; SF6	http://cdrpc.org/programs/sustainability/climate-smart-communities-csc/ghg-inventory/	Other: The City of Albany has not conducted a community GHG inventory update since the baseline year.	Technically the City has a community inventory data for baseline year 2009, an update for 2010, and an updated for 2013. However the results are not directly comparable as the 2009 was conducted specifically for Albany and 2010 was scaled down from a regional inventory and Energy Plan was conducted separately. We need to do a more robust update to ensure apples to apples comparison.	553094.0	1217091.0	Replaced by CDP2017 data. Reason:  TOT >> s1+s2 (Case 2b) in CDP2016. Soln: Replace with CDP2017 data (no edits required).	A	566276.8764222465	615502.3565094144	590889.6164658305	1119370.8764222465	1168596.3565094143	1143983.6164658305	1.0		(42.6526, -73.7562)	42.653	-73.757222	https://en.wikipedia.org/wiki/Albany,_New_York	USA	North America	97856.0	2010.0								98111.0	2016.0	https://www.census.gov/quickfacts/fact/table/albanycitynewyork/PST045216							55.0				55.3998861	2010.0	https://www.census.gov/quickfacts/fact/table/albanycitynewyork/PST045216						9.0	9.0				2430	3	49621.0	USD     US Dollar	2013.0	U.S. Bureau of Economic Analysis							58.397	66342.0	[1]	2014.0	52.0	59633.02752293577	[19]																	19.1	(2011-2015) 		0.97	0.86	2.19	2011-2015	https://www.census.gov/quickfacts/fact/table/albanycitynewyork/PST045216		586.0	13.0	2.3	4.4%	178	0.14	0.0	18%	32%														City of Albany Urban Area	187.5625	193.1875	200.1875	281.75	311.8125	336.375	0.39965374883473204	0.382549504950495	0.373092603377985	0.600346251165268	0.617450495049505	0.626907396622015	261.091695874086	1019.5492090027699	170.952655342129	1148.1634214625901	147.03212864693	1131.75076895341	42870000000.0	766200000000.0	0.06	0.017698981699999998	0.036729479100000004	0.0356646952	
9	Alton, IL	City of Alton, IL						Administrative boundary of a local government				2016.0	138542.0	CDP	tCO2-eq	2013.0	Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)	CO2; CH4; N2O		This is our first year of calculation		262537.0	401079.0		A	111997.9086328864	125369.2142881044	118683.56146049539	374534.9086328864	387906.2142881044	381220.5614604954	1.0		(38.890604, -90.184276)	38.901	-90.159722	https://en.wikipedia.org/wiki/Alton,_Illinois	USA	North America	26581.0	2015.0								26861.0	2016.0	https://www.census.gov/quickfacts/fact/table/altoncityillinois/PST045216							43.0				40.0671453	2010.0	https://www.census.gov/quickfacts/fact/table/altoncityillinois/PST045216						132.0	13.7				464	73		USD     US Dollar	2015.0											2008.0			[20]																	22.7	(2011-2015) 		0.97	0.86	2.27	2011-2015	https://www.census.gov/quickfacts/fact/table/altoncityillinois/PST045216																								see: Saint Louis Urban Area																			42870000000.0	766200000000.0	0.06	0.017698981699999998	0.036729479100000004	0.0356646952	
