	city name	Average altitude (m)	Average annual temperature (in Celsius) (CDP)	Boundary (CDP)	Built-up Area (km2) (PKU)	CDP2016 data edited (CDP)	CH4_(waste+natgas)/person	CH4_waste/person	CO2 Emissions Per Capita (Ton) (PKU)	City GDP (CDP)	City Location (CDP)	City Name (CDP)	Current Population (CDP)	Current Population Year (CDP)	Emissions Quality Flag (CDP)	Emissions Protocol	Export/Production	Exports (m3)	GDP (10000 RMB) (PKU)	GDP Currency (CDP)	GDP Source (CDP)	Gases included (CDP)	Income Per Capita (RMB) (PKU)	Increase/Decrease from last year (CDP)	Land area (in square km) (CDP)	Methodology Details (CDP)	Production (m3)	Reason for increase/decrease in emissions (CDP)	Reporting Year (CDP)	S1 lower bound [tCO2] (CDP)	S1 mean [tCO2] (CDP)	S1 upper bound [tCO2] (CDP)	Scope-1 GHG emissions	Scope-1 source dataset	Scope-1 GHG emissions units	Year of Emission	Scope 2 [metric ton CO2e] (CDP)	TOT lower bound [tCO2] (CDP)	TOT mean [tCO2] (CDP)	TOT upper bound [tCO2] (CDP)	Total Emissions [metric ton CO2e] (CDP)	Urban Population (PKU)	Year of GDP (CDP)	city_type (carbonn)	corrected CH4_(waste+natgas)/person	country	data from CIA World Fact Book for 2014	full city name (PKU)	full city name (carbonn)	GDP unit (carbonn)	GDP (carbonn)	GDP year (carbonn)	lat (carbonn)	lon (carbonn)	nGDP (carbonn)	pop (carbonn)	pop_yr (carbonn)	region	scope fraction (CDP)
129	Aarhus			Administrative boundary of a local government			0.01703133	0.0106834006			(56.168393, 10.137373)	Aarhus Kommune	320000.0	2016.0	D	Other	0.7	4517000000.0				CO2				CO2-beregneren (National guideline for municipalities)	6412000000.0		2016.0					CDP	tCO2	2016.0					1900.0				0.0125594652	Denmark												Europe	
40	Abington	86.0	13.6	Other: Municipal boundary			0.0367294791	0.017698981699999998			(40.12408, -75.119511)	Abington Township	55310.0	2010.0	A	Other	0.06	42870000000.0				CO2; CH4; N2O; HFCs; PFCs; SF6		Decreased	40.1	"The Delaware Valley Regional Planning Commission (DVRPC) is the designated Metropolitan Planning Organization (MPO) for the Greater Philadelphia Region. DVRPC works to promote regional cooperation
in a 9-county, bi-state region. The region includes Bucks, Chester, Delaware, Montgomery (the county where Abington Township is located and the third largest Pennsylvania county), and
Philadelphia counties in Pennsylvania; and Burlington, Camden, Gloucester, and Mercer counties in New Jersey. DVRPC facilitates city, county and state representatives of this region to address key concerns
such as transportation, land use, environmental protection and economic development. DVRPC conducts a regional Energy Use and Greenhouse Gas Emissions Inventory on a 5-year interval, with the most recent inventory reflecting year 2010 conditions as summarized below: 1. DVRPC conducted a baseline inventory in 2005 which may be found at http://www.dvrpc.org/reports/09038A.pdf (Abington's results may be found on line 1 of page 66 or A-13 of this document under the Table ""Montgomery County, PA – 2005 Greenhouse Gas Emissions Allocated to Municipality (MTCO2E)""; 
2. A 2010 inventory for which Abington Townships results may be found at http://www.dvrpc.org/webmaps/MunicipalEnergy/mcdDetail.aspx?mcdcode=4209100156 under ""GHG Emissions by Sector"" which is further broken down at the end under ""Non-Energy Greenhouse Gas Emissions.""  The 2010 results are what is being reported for this questionnaire."	766200000000.0	Energy efficiency by residents, businesses, industries, municipal government, and institutions such as hospitals and four public schools with geothermal HVAC, and a cleaner electricity generation mix contributed to this decrease.	2016.0	138111.799837664	152023.37042925402	165934.941020844	193345.0	CDP	tCO2-eq	2010.0	421879.0	559990.799837664	573902.370429254	587813.941020844	615224.0				0.0356646952	USA												North America	1.0
147	Addis Ababa	2650.0		Administrative boundary of a local government		CDP2016 TOT likely wrong because one scope is missing.	0.0182026271	0.0043235742			(9.028874, 38.754366)	Addis Ababa City Administration	3384569.0	2008.0	E	Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)	0.0	0.0		ETB     Ethiopian Birr		CO2; CH4; N2O		This is our first year of calculation	540.0	Reported according to the BASIC+ requirement	1.0	lack of capacity	2016.0	1983266.6727658424	2640911.243491644	3298555.814217445	3708292.0	CDP	tCO2-eq	2012.0		1983266.6727658424	2640911.243491644	3298555.814217445	3708292.0				0.0182026271	Ethiopia												Africa	
91	Adelaide	38.0	18.0	Administrative boundary of a local government			0.039682077	0.0277933709		18360000000.0	(-34.928499, 138.600746)	City of Adelaide	23169.0	2015.0	A	Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)	0.5	31610000000.0		AUD     Australian Dollar	:  http://economy.id.com.au/adelaide	CO2; CH4; N2O		Decreased	16.0		62640000000.0	Reduction in electricity consumption, a reduction in the greenhouse gas intensity of the state electricity grid and a change in methodology used for estimating transport inventories.	2016.0	41872.9652379316	43783.2580736164	45693.5509093012	63724.0	CDP	tCO2-eq	2013.0	422817.0	464689.9652379316	466600.2580736164	468510.55090930115	486541.0		2015.0		0.0336826837	Australia												Oceania	1.0
130	Aerøskøbing	10.0	10.0	Administrative boundary of a local government			0.01703133	0.0106834006			(54.891456, 10.404684)	City of Ærøskøbing	6200.0	2015.0	D	Other	0.7	4517000000.0				CO2		Decreased	88.0		6412000000.0	More renewable energi.	2016.0					CDP	tCO2	2015.0					225.0				0.0125594652	Denmark												Europe	
212	Aguascalientes															Community																	3839803.0	carbonn	tCO2-eq	2010.0								Municipality		Mexico			Municipality of Aguascalientes	USD	8321480.0	2013.0	21.8897	-102.295	9736522.00867773	934424.0	2012.0	Latin America & Caribbean	
187	Ahmedabad															Community																	13855311.0	carbonn	tCO2-eq	2008.0								Municipality		India			Ahmedabad Municipal Corporation				23.03	72.58	10930377619.2687	5570585.0	2011.0	South Asia	
141	Ajax, ON	90.0	7.8	Administrative boundary of a local government			0.1017275144	0.046860437000000005			(43.850855, -79.020373)	Town of Ajax, ON	109600.0	2011.0	C	International Emissions Analysis Protocol (ICLEI)	0.51	77960000000.0		CAD     Canadian Dollar		CO2		Increased	67.1	PCP Protocol method	151500000000.0	Emissions have increased as the population of the Town has increased since 2008 from 103,855 to 130,335 people in 2016.	2016.0				6354.0	CDP	tCO2	2008.0					538836.0				0.0734936045	Canada												North America	
118	Albany	9.0	9.0	Administrative boundary of a local government		Replaced by CDP2017 data. Reason:  TOT >> s1+s2 (Case 2b) in CDP2016. Soln: Replace with CDP2017 data (no edits required).	0.0367294791	0.017698981699999998		49621.0	(42.6526, -73.7562)	City of Albany	97856.0	2010.0	A	Other: New York Community and Regional GHG Inventory Guidance	0.06	42870000000.0		USD     US Dollar	U.S. Bureau of Economic Analysis	CO2; CH4; N2O; HFCs; PFCs; SF6		Other: The City of Albany has not conducted a community GHG inventory update since the baseline year.	55.0	http://cdrpc.org/programs/sustainability/climate-smart-communities-csc/ghg-inventory/	766200000000.0	Technically the City has a community inventory data for baseline year 2009, an update for 2010, and an updated for 2013. However the results are not directly comparable as the 2009 was conducted specifically for Albany and 2010 was scaled down from a regional inventory and Energy Plan was conducted separately. We need to do a more robust update to ensure apples to apples comparison.	2017.0	566276.8764222465	590889.6164658305	615502.3565094144	663997.0	CDP	tCO2-eq	2010.0	553094.0	1119370.8764222465	1143983.6164658305	1168596.3565094143	1217091.0		2013.0		0.0356646952	USA												North America	1.0
28	Alton, IL	132.0	13.7	Administrative boundary of a local government			0.0367294791	0.017698981699999998			(38.890604, -90.184276)	City of Alton, IL	26581.0	2015.0	A	Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)	0.06	42870000000.0		USD     US Dollar		CO2; CH4; N2O		This is our first year of calculation	43.0		766200000000.0		2016.0	111997.9086328864	118683.56146049539	125369.2142881044	138542.0	CDP	tCO2-eq	2013.0	262537.0	374534.9086328864	381220.5614604954	387906.2142881044	401079.0		2015.0		0.0356646952	USA												North America	1.0
