	city name	population (others)	area [km2] (others)	Household_size	Year_Household size	Household_source	population (others) source	population (others) source year	area [km2] (others) source	area [km2] (others) source year	GDP-PPP [$BN] (others)	GDP-PPP/cap [$USD] (others)	GDP-PPP [$BN] (others) source	GDP-PPP year (others)	nGDP [$BN] (others)	nGDP/cap [$USD] (others)	nGDP [$BN] (others) source	nGDP [$BN] (others) source year
5	Ahmedabad	5633927	464.165	4.7	2011	https://data.gov.in/catalog/normal-households-household-size-india-and-states	Wikipedia	2011	Wikipedia	2011	49.0		[2]	2008.0	12.0	1954.3973941368079	[3], [19]	2010.0
6	Bangalore	12339447	709.0	4.0	2011	https://data.gov.in/catalog/normal-households-household-size-india-and-states	Wikipedia	2017	Wikipedia	2017	45.313	5051.0	[1]	2014.0	29.0	3550.8754744704297	[3], [19]	2010.0
16	Barcelona	1604555	101.4	2.4	2014	http://ec.europa.eu/eurostat/cache/RCI/#?vis=city.statistics&lang=en	Wikipedia	2015	Wikipedia	2015	171.032	36157.0	[1]	2014.0	195.0	36011.08033240997	[3], [19]	2010.0
23	Bristol	454200	110.0	2.3	2013	http://ec.europa.eu/eurostat/cache/RCI/#?vis=city.statistics&lang=en	Wikipedia	2017	Wikipedia	2017	47.659	42326.0	[1]	2014.0	34.55597	41853.70810658921	[24]	2013.0
1	Brussels	1175173	161.38	2.1	2014	http://ec.europa.eu/eurostat/cache/RCI/#?vis=city.statistics&lang=en	Wikipedia	2017	Wikipedia	2017	254.327	46298.0	[1]	2014.0				
11	Buffalo City	755200	2536.0	3.4	2007	http://www.statssa.gov.za/publications/Report-03-01-32/Report-03-01-322007.pdf	Wikipedia	2011	Wikipedia	2011								
12	Ekurhuleni	3178470	1975.0	3.2	2007	http://www.statssa.gov.za/publications/Report-03-01-27/Report-03-01-272007.pdf	Wikipedia	2011	Wikipedia	2011								
24	Fort Collins	143986	147.77	2.48	2012-2016	https://www.census.gov/quickfacts/fact/table/fortcollinscitycolorado,chicagocityillinois,austellcitygeorgia,US#viewtop	Wikipedia	2010	Wikipedia	2010								
0	Graz	280200	127.56	2.0	2013	http://ec.europa.eu/eurostat/cache/RCI/#?vis=city.statistics&lang=en	Wikipedia	2016	Wikipedia	2016					135.28783	52806.99706861624	[24]	2013.0
17	Gävle	75451	42.45	2.12	2017	manual calculation was performed based on http://www.statistikdatabasen.scb.se/pxweb/en/ssd/START__BE__BE0101__BE0101S/HushallT03/?rxid=5b1086fd-d703-4c03-8791-3c76c740804f	Wikipedia	2016	Wikipedia	2016								
22	Istanbul	15029231	5343.0	3.5	2016	http://www.turkstat.gov.tr/PreHaberBultenleri.do?id=24646	Wikipedia	2017	Wikipedia	2017	348.721	24867.0	[1]	2014.0	188.2	17182.507075687026	[3], [19]	2010.0
7	Kyoto	1475183	827.83	2.05	2018	http://www.city.yokohama.lg.jp/ex/stat/jinko/city/new-e.html	Wikipedia	2015	Wikipedia	2015								
3	Lyon	1354476	533.68	2.2	2012	http://ec.europa.eu/eurostat/cache/RCI/#?vis=city.statistics&lang=en	Wikipedia	2014	Wikipedia	2014					87.80433	45554.70757187743	[24]	2012.0
13	Msunduzi	618536	634.0	4.5	2007	http://www.statssa.gov.za/publications/Report-03-01-35/Report-03-01-352007.pdf	Wikipedia	2011	Wikipedia	2011								
