	city name	full city name (GEA)	full city name (UITP)	full city name (WB)	definition  (WB)	study_year (WB)	country	population (GEA)	population (UITP)	population (WB)	population_year (WB)	pop_1950 (WB)	pop_1990 (WB)	pop_2010 (WB)	growth_rate_1950-2010 (WB)	growth_rate_1990-2010 (WB)	area_size (GEA)	area_size (WB)	population_density (GEA)	population_density (UITP)	pop_density (WB)	pop/sqrt(area_size) (GEA)	pop/sqrt(area) (WB)	total_final_consumption_per_capita (GEA)	energy_per_cap_CO2 (WB)	weather_station_id (GEA+)	CDD_23C (GEA+)	HDD_15.5C (GEA+)	diesel_price (GEA+)	gasoline_price (GEA+)	center_of_commerce_index (GEA+)	household_size (GEA+)	year_household_size (GEA+)	household_source (GEA+)	comment_household_size (GEA+)	urbanization_ratio (GEA+)	water_bounded (GEA+)	other_bounded (GEA+)	GDP-PPP/cap (GEA)	GDP-PPP/cap (UITP)	GDP-PPP/cap (WB)
0	Ahmedabad	Ahmadabad					India	4900000.0									464.0		10560.344827586207			227476.78926688855		15.773275142857141		VAAH	2120.0	26.0	0.7	1.09	-999.0	4.8	2011.0	Household: http://www.censusindia.gov.in/2011census/hlo/District_Tables/Distt_table/24/HH1604-2400CRCD.pdf -- Population: http://www.censusindia.gov.in/2011-prov-results/prov_data_products_gujarat.html	Calculation: pop/household (7208200/1494656)	29.235	0.0	River	6247.853520636172		
1	Amsterdam	Amsterdam	Amsterdam				Netherlands	743000.0	831499.0								219.0		3392.6940639269405	5703.0		50207.28721508181		74.51		EHAM	15.0	2060.0	1.45	1.68	60.06	1.82	2004.0	http://www.urbanaudit.org	-999	80.172	1.0	-999	41069.368118436236	28321.84	
2	Athens	Athens	Athens				Greece	3400000.0	3464866.0								412.0		8252.42718446602	6944.0		167505.97728792985		88.77		LGAV	460.0	794.0	1.41	1.23	43.25	2.35	2004.0	http://www.urbanaudit.org	-999	60.316	1.0	-999	22603.509365129346	11505.98	
3	Austin	Austin		Austin 	City 	2005.0	USA	337203.6638377841		672011.0	2005.0	137000.0	569000.0	1266000.0	1.0377559186478507	1.0407970963934607		704.0	1092.07		954.5610795454545		25327.36752263094	147.65268457264608	15.4	KATT	954.0	670.0	0.78	0.56	-999.0	2.43	2010.0	http://factfinder2.census.gov/faces/tableservices/jsf/pages/productview.xhtml?pid=DEC_10_DP_DPDP1&prodType=table	-999	80.731	0.0	-999	49789.026213380916		49789.026213380916
4	Bangalore	Bangalore					India	4130000.0											7600.0					10.953995157384988		43295	705.0	2.0	0.7	1.09	35.78	4.03	2011.0	Household: http://www.censusindia.gov.in/2011census/hlo/District_Tables/Distt_table/29/HH1604-2900CRCD.pdf -- Population: http://www.censusindia.gov.in/2011-prov-results/paper2/data_files/karnataka/4-population-8-19.pdf	Calculation: pop/household (9588910/2377056)	29.235	0.0	-999	1993.0		
5	Barcelona	Barcelona		Barcelona 	City 	2006.0	Spain	1605602.0		1605602.0	2006.0	1809000.0	4101000.0	5488000.0	1.0186686144583552	1.0146732629035444	101.9	109.1	15756.643768400392		14716.7919340055	159056.2754116643	153718.28311174666	65.71972011396437	2.3	LEBL	142.0	825.0	1.28	1.23	50.9	2.5	2004.0	http://www.urbanaudit.org	-999	76.701	1.0	-999	29076.722671203745		29076.722671203745
6	Barnsley, Doncaster and Rotherham	Barnsley, Doncaster and Rotherham					United Kingdom	767100.0									1184.0		559.0			22293.390920095942		108.04936491977064		EGNM	2.0	2550.0	1.65	1.44	-999.0	2.3	2011.0	http://www.ons.gov.uk/ons/interactive/vp2-2011-census-comparator/index.html / http://www.nomisweb.co.uk/articles/658.aspx (Table H01 2011 Census: Number of households with at least one usual resident, local authorities in England and Wales)	Calculation: Barnsley pop/household (227600/100700=2.26); Doncaster (290600/12650=2.29); Rotherham (254600/108300=2.35); Average (2.3)	79.007	0.0	-999	23817.540019414155		
7	Bath and North East Somerset, North Somerset and South Gloucestershire	Bath and North East Somerset, North Somerset and South Gloucestershire					United Kingdom	632200.0											255.6					98.62730550537948		EGGD	1.0	2229.0	1.65	1.44	-999.0	2.43	2011.0	http://www.ons.gov.uk/ons/interactive/vp2-2011-census-comparator/index.html / http://www.nomisweb.co.uk/articles/658.aspx (Table H01 2011 Census: Number of households with at least one usual resident, local authorities in England and Wales)	Calculation: Bath and NE Somerset pop/household (179700/73500=2.44); N Somerset (212200/88200=2.4); S Gloucestershire (264800/107500=2.46); Average (2.43)	79.007	0.0	-999	37014.79344932283		
8	Bedfordshire CC	Bedfordshire CC					United Kingdom	403600.0											499.0					88.87749647556623		EGGW	7.0	2240.0	1.65	1.44	-999.0	3.98	2011.0	http://www.ons.gov.uk/ons/interactive/vp2-2011-census-comparator/index.html / http://www.nomisweb.co.uk/articles/658.aspx (Table H01 2011 Census: Number of households with at least one usual resident, local authorities in England and Wales)	Calculation: pop/household (416000/104400)	79.007	0.0	-999	29148.524526909343		
9	Beijing	Beijing	Beijing	Beijing 	Beijing Government Administered Area (Province) 	2006.0	China	10717033.0	8164000.0	15810000.0	2006.0	1671000.0	6788000.0	15000000.0	1.0372543069758682	1.0404410322022664		16801.25	8502.794106974383	12311.0	941.0014135852987		121972.26057093298	114.48663743034103	9.3	ZBAA	381.0	2450.0	1.01	0.99	42.52	2.87	2003.0	http://www.stats.gov.cn/english/statisticaldata/yearlydata/yarbook2003_e.pdf	-999	42.522	0.0	Mountains	9237.631348153915	1828.75	9237.631348153915
10	Belfast	Belfast					United Kingdom	267600.0									115.0		2326.9565217391305			24953.828668510796		48.6292440044852		EGAA	0.0	2355.0	1.65	1.44	-999.0	2.36	2004.0	http://www.urbanaudit.org	-999	79.007	1.0	-999	52835.843300470275		
11	Belgrade	Belgrade					Serbia	1700000.0000000002									360.0		4722.222222222223			89597.86703810409		38.88635294117647		LYBE	251.0	1969.0	1.14	1.29	-999.0	2.8	2002.0	https://zis.beograd.gov.rs/upload/G_2010E_03.pdf	-999	54.433	0.0	Large River	11352.882352941177		
12	Berkshire	Berkshire					United Kingdom	816400.0									1262.0		646.9096671949287			22981.23261050068		101.83756807365025		EGUB	8.0	2169.0	1.65	1.44	-999.0	2.47	2011.0	http://www.ons.gov.uk/ons/interactive/vp2-2011-census-comparator/index.html / http://www.nomisweb.co.uk/articles/658.aspx (Table H01 2011 Census: Number of households with at least one usual resident, local authorities in England and Wales)	Calculation: pop/household (154000/62300)	79.007	0.0	-999	53628.22182163587		
13	Berlin	Berlin	Berlin				Germany	3415742.0	3471418.0								891.85		3829.9512249817794	5598.0		114377.11859074661		80.66		IBERLIN15*	88.0	2213.0	1.56	1.56	53.22	1.8	2004.0	http://www.urbanaudit.org	-999	73.355	0.0	River	22114.13488324916	23479.61	
14	Birmingham	Birmingham					United Kingdom	2599500.0									1598.0		1626.720901126408			65028.155305821936		85.50243248174105		EGBB	5.0	2214.0	1.65	1.44	-999.0	2.52	2011.0	http://www.ons.gov.uk/ons/interactive/vp2-2011-census-comparator/index.html / http://www.nomisweb.co.uk/articles/658.aspx (Table H01 2011 Census: Number of households with at least one usual resident, local authorities in England and Wales)	Calculation: pop/household (1036900/410700)	79.007	0.0	-999	31543.129315001523		
15	Blackburn with Darwen	Blackburn with Darwen					United Kingdom	141100.0									303.85		464.3738686852065			8094.637290915674		93.73487407002975		EGCC	2.0	2227.0	1.65	1.44	-999.0	2.43	2011.0	http://www.ons.gov.uk/ons/interactive/vp2-2011-census-comparator/index.html / http://www.nomisweb.co.uk/articles/658.aspx (Table H01 2011 Census: Number of households with at least one usual resident, local authorities in England and Wales)	Calculation: pop/household (140000/57400)	79.007	0.0	-999	25422.2175822808		
16	Boulder	Boulder					USA	469949.026382091											151.0					136.1621538769083		KBJC	247.0	2446.0	0.78	0.56	-999.0	2.39	2010.0	http://factfinder2.census.gov/faces/tableservices/jsf/pages/productview.xhtml?pid=DEC_10_DP_DPDP1&prodType=table	metro area	80.731	0.0	Mountains	63989.27164454151		
17	Bournemouth	Bournemouth and Poole					United Kingdom	298700.0									111.06		2689.537187106069			28343.689911311525		77.47837730999156		EGHH	2.0	1981.0	1.65	1.44	-999.0			-999	-999	79.007	-999.0	-999	34832.871609617745		
18	Bradford	Bradford					United Kingdom	492900.0											1290.0					80.5543899386311		EGNM	0.0	2550.0	1.65	1.44	-999.0	2.54	2004.0	http://www.urbanaudit.org	-999	79.007	-999.0	-999	26760.39908461634		
19	Bratislava	Bratislava					Slovakia	427000.0									367.584		1161.6392443631933			22271.50550239214		82.8		LZIB	131.0	2285.0	1.68	1.57	-999.0		2010.0	http://app.statistics.sk/mosmis/eng/run.html	(pop only: 41086)	55.563	0.0	Large River	22059.211708331608		
20	Bremen	Bremen					Germany	548477.0									326.73		1678.6857650047439			30343.377075278004		155.93326403082042		EDDW	36.0	2390.0	1.56	1.56	-999.0	1.86	2004.0	http://www.urbanaudit.org	-999	73.355	-999.0	-999	41827.31029657794		
21	Bridgend and Neath Port Talbot	Bridgend and Neath Port Talbot					United Kingdom	269700.0											255.6					142.86912782127334		EGFF	0.0	1948.0	1.65	1.44	-999.0	2.28	2011.0	http://www.ons.gov.uk/ons/interactive/vp2-2011-census-comparator/index.html / http://www.nomisweb.co.uk/articles/658.aspx (Table H01 2011 Census: Number of households with at least one usual resident, local authorities in England and Wales)	Calculation: Bridgend pop/household (134600/58500=2.3); Neath Port Talbot (137400/60400=2.27); Average (2.28)	79.007	1.0	-999	23752.035559747226		
22	Brighton and Hove	Brighton and Hove					United Kingdom	251500.0									87.54		2872.972355494631			26880.33756125283		67.79935288190443		EGKA	2833.0	1891.0	1.65	1.44	-999.0	2.13	2011.0	http://www.ons.gov.uk/ons/interactive/vp2-2011-census-comparator/index.html / http://www.nomisweb.co.uk/articles/658.aspx (Table H01 2011 Census: Number of households with at least one usual resident, local authorities in England and Wales)	Calculation: pop/household (258800/121500)	79.007	1.0	-999	33782.11349940126		
23	Bristol	Bristol, City of					United Kingdom	410700.0									110.0		3733.6363636363635			39158.708540316475		70.41764084849086		EGGD	1.0	2229.0	1.65	1.44	-999.0	2.41	2011.0	http://www.ons.gov.uk/ons/interactive/vp2-2011-census-comparator/index.html / http://www.nomisweb.co.uk/articles/658.aspx (Table H01 2011 Census: Number of households with at least one usual resident, local authorities in England and Wales)	Calculation: pop/household (441300/182700); bounded water not sure	79.007	1.0	-999	45714.402855447406		
24	Brussels	Brussels	Brussels				Belgium	1050000.0	948122.0								161.38		6506.382451357045	7239.0		82654.10802812464		86.88		6447	31.0	2024.0	1.34	1.5	52.16	2.22	2010.0	http://www.bisa.irisnet.be/en/themes/population/population	"Downloaded ""Structure of households (.xls)"" and averaged the household sizes listed in table 1.2.1.1 - let me know if you want to see the work."	97.292	0.0	-999	49144.54781255517	28008.58	
25	Buckinghamshire CC	Buckinghamshire CC					United Kingdom	487600.0									1565.0		311.5654952076677			12325.55619285632		103.2306213626836		EGLL	17.0	1810.0	1.65	1.44	-999.0	2.52	2011.0	http://www.ons.gov.uk/ons/interactive/vp2-2011-census-comparator/index.html / http://www.nomisweb.co.uk/articles/658.aspx (Table H01 2011 Census: Number of households with at least one usual resident, local authorities in England and Wales)	Calculation: pop/household (505283/200700)	79.007	0.0	Lakes, Rivers	39984.750972934504		
26	Bucharest	Bucuresti (Bucharest)					Romania	1900000.0000000002									285.0		6666.666666666668			112546.28677422756		72.13		LRBS	291.0	2168.0	1.22	1.11	-999.0	2.48	2006.0	http://www.insse.ro/cms/rw/pages/statRegionale.en.do;jsessionid=03965199186fdc0691f55de66778917cfa04aabb0e35dfbcd7561e3035fe9d90.e38QbxeSahyTbi0Oax10	Calculation: pop/household (2219532/893241)	52.762	0.0	Large River	19636.39760036712		
27	Budapest	Budapest	Budapest				Hungary	1700000.0	1906798.0								525.16		3237.108690684744	5100.0		74182.7794987763		98.85		12843	173.0	2219.0	1.38	1.27	44.52	1.93	2010.0	http://www.ksh.hu/interaktiv/terkepek/mo/lakas_eng.html?mapid=ZRS001	-999	66.365	0.0	River	25392.596109499962	5678.67	
28	Buffalo City	Buffalo City 					South Africa	702671.0									2536.0		304.0			13953.31521952888		25.999999999999996		FAEL	117.0	219.0	0.95	0.87	-999.0	2.33	2010.0	http://factfinder2.census.gov/faces/tableservices/jsf/pages/productview.xhtml?pid=DEC_10_DP_DPDP1&prodType=table	metro area	59.256	1.0	-999	5490.4356730986165		
29	Calderdale, Kirklees and Wakefield	Calderdale, Kirklees and Wakefield					United Kingdom	917900.0											550.0					99.39741891352361		EGNM	0.0	2550.0	1.65	1.44	-999.0			-999	-999	79.007	-999.0	-999	27871.569979483767		
30	Cambridgeshire CC	Cambridgeshire CC					United Kingdom	589900.0									3046.0		193.66382140512147			10688.41841653297		117.67739193740346		EGSS	9.0	2214.0	1.65	1.44	-999.0	2.27	2004.0	http://www.urbanaudit.org	(Cambridge 2.27)	79.007	-999.0	-999	35290.53859363091		
31	Cape Town	Cape Town	Cape Town	Cape Town 	City 	2006.0	South Africa	3069404.0	2900000.0	3497097.0	2006.0	618000.0	2155000.0	3492000.0	1.0292829118143991	1.0244277824918027	2454.72	2454.72	1250.4090079520272	7106.0	1424.6419143527573	61951.678029283314	70584.07019120734	44.00000000000001	6.0	FACT	131.0	461.0	0.95	0.87	-999.0	3.4	2008.0	https://www.statssa.gov.za/Publications/P0318/P0318April2012.pdf	From tables on page five, total population / total households	59.256	1.0	-999	12320.458980159154	4242.73	12320.458980159154
32	Cardiff	Cardiff and Vale of Glamorgan					United Kingdom	440700.0									475.3		927.2038712392173			20214.32032137423		100.90338747791407		EGFF	0.0	1948.0	1.65	1.44	-999.0			-999	-999	79.007	-999.0	-999	35777.17509890704		
33	Central Valleys (Wales)	Central Valleys (Wales)					United Kingdom	289300.0											255.6					95.67931516721262		IBRIDGEN1	4.0	2114.0	1.65	1.44	-999.0			-999	-999	79.007	-999.0	-999	20732.741579652593		
34	Changchun	Changchun					China	7392600.0									20532.0		360.05260081823496			51591.90689254356		68.7047344365443		ZYCC	158.0	4305.0	1.01	0.99	-999.0	3.29	2003.0	http://www.stats.gov.cn/english/statisticaldata/yearlydata/yarbook2003_e.pdf	"For ""Jilin"""	42.522	0.0	-999	6827.100791475687		
35	Changsha, Hunan	Changsha, Hunan					China	6310000.0									11819.0		533.886115576614			58041.54881882834		59.612729930089735		ZGHA	698.0	1100.0	1.01	0.99	-999.0	3.44	2003.0	http://www.stats.gov.cn/english/statisticaldata/yearlydata/yarbook2003_e.pdf	"For ""Hunan"""	42.522	0.0	Mountains, River	8263.771141294194		
36	Chengdu	Chengdu					China	11034000.0									12132.0		909.4955489614243			100176.71329825289		44.93882575586986		ZUUU	406.0	893.0	1.01	0.99	33.84	3.26	2003.0	http://www.stats.gov.cn/english/statisticaldata/yearlydata/yarbook2003_e.pdf	"For ""Sichuan"""	42.522	0.0	Mountains	5166.577850733139		
37	Cheshire CC	Cheshire CC					United Kingdom	686500.0											255.6					183.51302916005238		EGGP	2.0	1916.0	1.65	1.44	-999.0			-999	-999	79.007	-999.0	-999	37761.258467385494		
38	Chongqing	Chongqing					China	6362501.0											3145.0					144.35516106009254		ZUCK	543.0	885.0	1.01	0.99	33.13	3.35	2003.0	http://www.stats.gov.cn/english/statisticaldata/yearlydata/yarbook2003_e.pdf	-999	42.522	0.0	River	5500.9814536767835		
39	Leeds	city of leeds					United Kingdom	750600.0									551.72		1360.4727035452765			31955.763349998142		94.16134198971908		EGNM	0.0	2550.0	1.65	1.44	-999.0	2.31	2004.0	http://www.urbanaudit.org	-999	79.007	0.0	-999	63066.614111154915		
40	Clackmannanshire and Fife	Clackmannanshire and Fife					United Kingdom	407900.0									1484.0		274.86522911051213			10588.55641502551		124.47162458180055		EGQL	0.0	2476.0	1.65	1.44	-999.0			-999	-999	79.007	-999.0	-999	25208.888245480666		
41	Copenhagen	Copenhagen	Copenhagen				Denmark	504000.0	1739458.0								88.25		5711.048158640227	2849.0		53650.426577564824		80.63		EKCH	7.0	2483.0	1.54	1.54	57.99	1.95	2012.0	http://www.statbank.dk/statbank5a/default.asp?w=1280	Calculation: pop/household (551900/283010)	85.856	1.0	-999	37793.45233047332	37058.29	
42	Dalian	Dalian					China	5720800.0									13237.0		432.18251869759007			49723.53319068521		134.5106046539084		ZYTL	175.0	2524.0	1.01	0.99	-999.0	3.14	2003.0	http://www.stats.gov.cn/english/statisticaldata/yearlydata/yarbook2003_e.pdf	"For ""Liaoning"""	42.522	1.0	-999	13019.892004595358		
43	Dar es Salaam	Dar es Salaam					Tanzania	1330310.0									1590.5		836.4099339830242			33356.92580674899		16.9		HKMO**	1354.0	0.0	1.3	1.11	-999.0	4.5	2002.0	http://www.nbs.go.tz/takwimu/references/2002popcensus.pdf	-999	24.192	1.0	-999	1081.0		
44	Darlington	Darlington					United Kingdom	99400.0											255.6					110.71138620195853		EGNV	2.0	2263.0	1.65	1.44	-999.0			-999	-999	79.007	-999.0	-999	32144.268412317906		
45	Denver	Denver		Denver 	City and County	2005.0	USA	579744.0		579744.0	2005.0	505000.0	1528000.0	2492000.0	1.0269617722428315	1.0247578036103384	401.3	401.3	1444.6648392723648		1444.6648392723648	28940.210306407895	28940.210306407895	221.49570920958212	17.69	KBJC	247.0	2446.0	0.78	0.56	-999.0	2.5	2010.0	http://factfinder2.census.gov/faces/tableservices/jsf/pages/productview.xhtml?pid=DEC_10_DP_DPDP1&prodType=table	metro area	80.731	0.0	Mountains	58011.47377702888		58011.47377702888
46	Derby	Derby					United Kingdom	236400.0									78.03		3029.6039984621298			26761.883065966183		87.38918297187581		EGNX	6.0	2135.0	1.65	1.44	-999.0			-999	-999	79.007	-999.0	-999	40712.642903302825		
47	Dublin	Dublin					Ireland	1200000.0											4588.0					156.46		EIDW	0.0	2238.0	1.64	1.56	51.77			-999	-999	60.477	-999.0	-999	47239.75234800851		
48	Durham CC	Durham CC					United Kingdom	501199.99999999994											230.0					96.25947575823805		EGNT	0.0	2443.0	1.65	1.44	-999.0			-999	-999	79.007	-999.0	-999	21082.342500481573		
